   # lambda  flux(e-/s)    stddev 
   9750.000     0.01449   0.03194 
   9751.086     0.01398   0.02688 
   9752.172    -0.04759   0.02019 
   9753.258    -0.06358   0.01757 
   9754.344    -0.03913   0.01731 
   9755.430     0.06756   0.01762 
   9756.516     0.03831   0.01839 
   9757.602    -0.01488   0.01860 
   9758.688    -0.04390   0.02612 
   9759.774    -0.03284   0.01967 
   9760.860    -0.07852   0.01763 
   9761.946    -0.03568   0.01707 
   9763.032     0.04281   0.01686 
   9764.118     0.03989   0.01685 
   9765.204    -0.04374   0.01735 
   9766.290    -0.00494   0.01640 
   9767.376     0.01208   0.01656 
   9768.462    -0.02719   0.01698 
   9769.548     0.00605   0.02119 
   9770.633     0.01359   0.02008 
   9771.719    -0.00718   0.01712 
   9772.805     0.02852   0.01729 
   9773.891     0.06941   0.01886 
   9774.977     0.02922   0.02662 
   9776.063    -0.03846   0.02473 
   9777.149    -0.04844   0.01760 
   9778.235    -0.01994   0.01682 
   9779.321     0.04784   0.01710 
   9780.407     0.01537   0.01775 
   9781.493     0.00860   0.01779 
   9782.579    -0.06328   0.01740 
   9783.665    -0.03150   0.01740 
   9784.751    -0.01546   0.01753 
   9785.837     0.02983   0.01901 
   9786.923    -0.03831   0.02032 
   9788.009     0.01571   0.02205 
   9789.095    -0.06266   0.03189 
   9790.181    -0.00847   0.04762 
   9791.267    -0.08415   0.07357 
   9792.353    -0.18156   0.11072 
   9793.439     0.03535   0.11832 
   9794.525     0.11225   0.11378 
   9795.611     0.06800   0.09432 
   9796.697    -0.00610   0.04927 
   9797.783    -0.00689   0.03248 
   9798.869     0.01364   0.03883 
   9799.955     0.16271   0.05361 
   9801.041     0.00220   0.06448 
   9802.127     0.01320   0.06734 
   9803.213     0.02227   0.06680 
   9804.299     0.00838   0.05370 
   9805.385     0.03131   0.03124 
   9806.471    -0.07125   0.02095 
   9807.557    -0.06761   0.02237 
   9808.643     0.04638   0.02732 
   9809.729     0.06689   0.02999 
   9810.814    -0.08357   0.03117 
   9811.900    -0.15094   0.03462 
   9812.986    -0.11330   0.04053 
   9814.072    -0.01929   0.04489 
   9815.158     0.00877   0.04546 
   9816.244     0.04043   0.04366 
   9817.330     0.06335   0.03824 
   9818.416    -0.02498   0.03511 
   9819.502    -0.01637   0.03074 
   9820.588    -0.05336   0.03011 
   9821.674    -0.07611   0.02846 
   9822.760    -0.02614   0.02586 
   9823.846    -0.05764   0.02050 
   9824.932    -0.04694   0.02032 
   9826.018    -0.05208   0.02118 
   9827.104    -0.00163   0.02119 
   9828.190    -0.06936   0.02336 
   9829.276     0.00250   0.02645 
   9830.362    -0.05008   0.02823 
   9831.448    -0.09663   0.02811 
   9832.534    -0.03216   0.02656 
   9833.620     0.01365   0.02361 
   9834.706    -0.01118   0.02102 
   9835.792    -0.05127   0.02086 
   9836.878    -0.11831   0.01986 
   9837.964    -0.04055   0.01931 
   9839.050    -0.09697   0.01871 
   9840.136    -0.00188   0.01867 
   9841.222     0.01856   0.01834 
   9842.308     0.00376   0.01781 
   9843.394     0.05188   0.01820 
   9844.480     0.00116   0.02075 
   9845.566    -0.04721   0.01942 
   9846.652    -0.06024   0.02211 
   9847.738    -0.04019   0.02687 
   9848.824     0.01259   0.04175 
   9849.910     0.07872   0.07640 
   9850.995     0.00608   0.06528 
   9852.081    -0.07794   0.06250 
   9853.167    -0.06503   0.05064 
   9854.253    -0.04078   0.02722 
   9855.339     0.00256   0.01944 
   9856.425    -0.04272   0.01844 
   9857.511    -0.09162   0.01871 
   9858.597    -0.03641   0.01833 
   9859.683     0.01228   0.01892 
   9860.769    -0.14169   0.01795 
   9861.855    -0.05956   0.01855 
   9862.941     0.03911   0.01945 
   9864.027     0.05455   0.01797 
   9865.113    -0.05000       nan 
   9866.199     0.00281       nan 
   9867.285     0.05926   0.01853 
   9868.371    -0.02200   0.01986 
   9869.457     0.03257   0.02386 
   9870.543     0.10097   0.03095 
   9871.629     0.06402   0.04279 
   9872.715    -0.07697   0.07938 
   9873.801     0.03127   0.11151 
   9874.887     0.03523   0.11397 
   9875.973    -0.02817   0.10900 
   9877.059     0.00732   0.07570 
   9878.145    -0.05096   0.03244 
   9879.231    -0.02333   0.02206 
   9880.317    -0.05660   0.01989 
   9881.403    -0.04387   0.01984 
   9882.489    -0.02504   0.01947 
   9883.575    -0.07621   0.02000 
   9884.661    -0.01246   0.02118 
   9885.747    -0.01382   0.02270 
   9886.833    -0.04470   0.02561 
   9887.919     0.10381   0.02751 
   9889.005     0.04872   0.02728 
   9890.090     0.01058   0.03213 
   9891.176     0.05634   0.02497 
   9892.262     0.00024   0.02171 
   9893.348    -0.04776   0.02452 
   9894.434    -0.05767   0.03412 
   9895.520    -0.16110   0.06015 
   9896.606    -0.17654   0.07599 
   9897.692     0.02508   0.07708 
   9898.778     0.10279   0.07256 
   9899.864    -0.03057   0.04879 
   9900.950    -0.00924   0.02806 
   9902.036    -0.00036   0.02315 
   9903.122     0.01402   0.02272 
   9904.208     0.03619   0.02244 
   9905.294    -0.02446   0.02130 
   9906.380     0.00189   0.02000 
   9907.466     0.00431   0.01960 
   9908.552     0.03234   0.01910 
   9909.638     0.04935   0.02002 
   9910.724     0.00347   0.02048 
   9911.810    -0.09933   0.02338 
   9912.896    -0.01830   0.03406 
   9913.982     0.04744   0.04883 
   9915.068     0.04184   0.08040 
   9916.154     0.02281   0.11837 
   9917.240     0.11880   0.12343 
   9918.326    -0.07945   0.11925 
   9919.412    -0.11080   0.09523 
   9920.498     0.02851   0.03902 
   9921.584    -0.04649   0.02229 
   9922.670     0.00622   0.01983 
   9923.756     0.01065   0.01992 
   9924.842     0.01895   0.02312 
   9925.928    -0.04206   0.01946 
   9927.014    -0.03735   0.01904 
   9928.100     0.07665   0.01892 
   9929.186     0.03160   0.01915 
   9930.271    -0.02948   0.02760 
   9931.357    -0.08569   0.02807 
   9932.443    -0.04020   0.02554 
   9933.529    -0.02887   0.02329 
   9934.615     0.01724   0.02124 
   9935.701    -0.05720   0.02137 
   9936.787    -0.07412   0.01988 
   9937.873    -0.06631   0.02164 
   9938.959     0.01120   0.02167 
   9940.045     0.04722   0.02687 
   9941.131     0.05295   0.03353 
   9942.217    -0.01309   0.07875 
   9943.303     0.13361   0.08707 
   9944.389     0.07174   0.12921 
   9945.475     0.00847   0.10408 
   9946.561     0.04810   0.11287 
   9947.647     0.00958   0.12169 
   9948.733    -0.03979   0.15143 
   9949.819    -0.04675   0.13351 
   9950.905    -0.18150   0.10617 
