       9750.0000         -NaN         -NaN             NaN
       9751.0860      22440.9      155.016       22440.856
       9752.1719      22215.5      154.125       22215.463
       9753.2579      22601.4      155.487       22601.381
       9754.3439      23105.5      157.134       23105.525
       9755.4299      23360.1      157.870       23360.120
       9756.5158      23428.1      158.192       23428.107
       9757.6018      23537.5      158.453       23537.456
       9758.6878      23069.8      157.011       23069.839
       9759.7738      23251.2      157.840       23251.206
       9760.8597      23309.1      157.992       23309.138
       9761.9457      24525.5      161.422       24525.469
       9763.0317      24867.3      162.634       24867.278
       9764.1176      24361.1      161.274       24361.144
       9765.2036      23963.9      160.085       23963.879
       9766.2896      23579.8      158.954       23579.763
       9767.3756      24928.3      163.077       24928.329
       9768.4615      25931.7      165.906       25931.698
       9769.5475      26318.4      166.820       26318.375
       9770.6335      26455.8      167.148       26455.840
       9771.7195      26368.6      167.083       26368.604
       9772.8054      27026.6      169.153       27026.562
       9773.8914      27121.4      169.732       27121.401
       9774.9774      26940.0      168.802       26940.027
       9776.0633      26834.6      168.555       26834.625
       9777.1493      27056.3      169.156       27056.295
       9778.2353      27066.2      169.329       27066.185
       9779.3213      26789.3      168.109       26789.321
       9780.4072      27233.3      169.818       27233.284
       9781.4932      27448.0      170.495       27447.971
       9782.5792      27353.0      170.226       27352.988
       9783.6652      27063.6      169.373       27063.649
       9784.7511      26313.7      166.993       26313.692
       9785.8371      27077.9      169.639       27077.904
       9786.9231      27775.2      171.538       27775.169
       9788.0090      28135.1      172.541       28135.112
       9789.0950      28402.5      173.556       28402.471
       9790.1810      28253.0      173.264       28252.963
       9791.2670      28114.9      172.880       28114.910
       9792.3529      27972.8      172.714       27972.846
       9793.4389      27536.1      171.338       27536.113
       9794.5249      27313.5      170.211       27313.504
       9795.6109      27425.5      170.426       27425.474
       9796.6968      27869.9      171.724       27869.936
       9797.7828      28491.0      173.481       28491.016
       9798.8688      28558.2      173.497       28558.168
       9799.9548      28490.2      173.349       28490.180
       9801.0407      28633.1      174.182       28633.081
       9802.1267      28084.8      173.055       28084.780
       9803.2127      28056.2      172.483       28056.233
       9804.2986      28367.4      173.576       28367.397
       9805.3846      28570.4      174.024       28570.411
       9806.4706      28908.4      174.890       28908.371
       9807.5566      29747.4      177.137       29747.422
       9808.6425      29629.4      177.060       29629.433
       9809.7285      29970.0      178.027       29970.049
       9810.8145      30139.5      178.532       30139.453
       9811.9005      30072.5      178.482       30072.468
       9812.9864      29322.4      176.086       29322.438
       9814.0724      29510.9      176.490       29510.947
       9815.1584      30176.4      178.463       30176.442
       9816.2443      30435.8      178.999       30435.782
       9817.3303      30356.5      178.994       30356.474
       9818.4163      30412.6      178.978       30412.607
       9819.5023      30456.2      179.236       30456.175
       9820.5882      30710.2      179.764       30710.171
       9821.6742      30858.0      180.219       30858.001
       9822.7602      30628.3      179.857       30628.283
       9823.8462      30538.5      179.614       30538.539
       9824.9321      30675.5      180.140       30675.547
       9826.0181      29996.6      178.331       29996.626
       9827.1041      30131.2      178.303       30131.180
       9828.1900      30104.0      178.208       30104.042
       9829.2760      30252.8      178.779       30252.833
       9830.3620      30633.3      180.073       30633.262
       9831.4480      31031.8      180.795       31031.836
       9832.5339      31091.6      180.918       31091.616
       9833.6199      30923.0      180.109       30923.005
       9834.7059      30723.8      179.829       30723.770
       9835.7919      30830.0      179.943       30830.048
       9836.8778      31219.5      181.317       31219.505
       9837.9638      31230.1      181.095       31230.111
       9839.0498      31282.3      181.505       31282.297
       9840.1357      31208.8      181.263       31208.783
       9841.2217      31071.6      181.186       31071.642
       9842.3077      31583.9      182.423       31583.863
       9843.3937      31507.4      182.617       31507.446
       9844.4796      31661.7      182.525       31661.721
       9845.5656      31612.4      182.548       31612.370
       9846.6516      31709.6      182.780       31709.642
       9847.7376      31855.0      182.904       31855.035
       9848.8235      31927.5      183.154       31927.548
       9849.9095      31704.3      182.549       31704.262
       9850.9955      31492.1      182.283       31492.121
       9852.0814      32065.3      183.656       32065.339
       9853.1674      32124.2      183.870       32124.151
       9854.2534      31718.8      182.979       31718.775
       9855.3394      31764.7      182.618       31764.747
       9856.4253      31512.4      182.041       31512.409
       9857.5113      31616.4      182.412       31616.412
       9858.5973      31844.2      182.683       31844.225
       9859.6833      32457.6      184.741       32457.610
       9860.7692      32790.4      185.813       32790.395
       9861.8552      32799.9      185.880       32799.875
       9862.9412      32735.9      185.897       32735.878
       9864.0271      32388.9      184.723       32388.862
       9865.1131      32165.6      184.170       32165.583
       9866.1991      32641.1      185.006       32641.102
       9867.2851      32935.8      185.939       32935.835
       9868.3710      32746.0      185.145       32746.044
       9869.4570      33011.5      186.286       33011.537
       9870.5430      32553.9      184.671       32553.899
       9871.6290      32974.3      185.988       32974.312
       9872.7149      33327.9      186.834       33327.926
       9873.8009      33118.3      186.234       33118.289
       9874.8869      32782.9      185.411       32782.910
       9875.9729      32705.2      185.680       32705.206
       9877.0588      33025.9      186.116       33025.904
       9878.1448      33238.0      186.946       33237.989
       9879.2308      33210.3      186.452       33210.311
       9880.3167      33250.9      186.628       33250.869
       9881.4027      33627.7      187.816       33627.660
       9882.4887      33458.7      187.074       33458.652
       9883.5747      33995.3      188.870       33995.296
       9884.6606      34163.7      189.468       34163.695
       9885.7466      34137.7      189.166       34137.723
       9886.8326      33220.6      187.246       33220.617
       9887.9186      33115.0      186.499       33114.992
       9889.0045      33223.6      186.736       33223.616
       9890.0905      33087.7      185.987       33087.654
       9891.1765      32148.7      183.890       32148.658
       9892.2624      31829.2      182.822       31829.219
       9893.3484      32501.7      185.099       32501.699
       9894.4344      33635.3      188.209       33635.346
       9895.5204      34083.1      189.158       34083.148
       9896.6063      34403.1      190.046       34403.130
       9897.6923      33000.7      186.519       33000.721
       9898.7783      33682.9      188.269       33682.947
       9899.8643      34242.6      189.824       34242.560
       9900.9502      34804.3      191.014       34804.287
       9902.0362      35159.6      191.975       35159.574
       9903.1222      35160.0      192.070       35160.048
       9904.2081      35125.6      192.067       35125.588
       9905.2941      35410.6      192.643       35410.623
       9906.3801      35706.1      193.611       35706.075
       9907.4661      35782.8      193.516       35782.784
       9908.5520      35915.2      194.269       35915.159
       9909.6380      36225.3      194.911       36225.337
       9910.7240      35943.6      194.204       35943.605
       9911.8100      35668.0      193.490       35668.017
       9912.8959      36104.8      194.604       36104.832
       9913.9819      35740.8      193.495       35740.757
       9915.0679      35389.9      192.865       35389.874
       9916.1538      36107.8      194.739       36107.786
       9917.2398      36469.1      195.764       36469.119
       9918.3258      36027.0      194.618       36026.951
       9919.4118      36414.8      195.631       36414.822
       9920.4977      36835.8      196.365       36835.811
       9921.5837      36780.0      195.952       36780.048
       9922.6697      36676.8      195.940       36676.797
       9923.7557      36922.2      196.888       36922.234
       9924.8416      36851.3      196.416       36851.336
       9925.9276      36635.7      195.726       36635.671
       9927.0136      37005.6      196.606       37005.551
       9928.0995      36890.4      196.531       36890.386
       9929.1855      37340.6      198.010       37340.611
       9930.2715      37191.1      197.544       37191.090
       9931.3575      37030.3      196.835       37030.281
       9932.4434      36624.9      195.972       36624.883
       9933.5294      36419.9      195.730       36419.853
       9934.6154      36982.9      197.289       36982.899
       9935.7014      37597.4      198.804       37597.416
       9936.7873      37840.7      199.284       37840.669
       9937.8733      37438.1      198.227       37438.135
       9938.9593      37991.4      199.471       37991.399
       9940.0452      38359.4      200.431       38359.433
       9941.1312      38182.6      200.196       38182.648
       9942.2172      38051.1      200.106       38051.138
       9943.3032      38072.1      200.296       38072.148
       9944.3891      37521.5      198.609       37521.463
       9945.4751      37839.4      199.569       37839.434
       9946.5611      38192.5      200.350       38192.549
       9947.6471      38574.2      201.358       38574.245
       9948.7330      38767.8      201.693       38767.769
       9949.8190      38459.6      201.265       38459.605
       9950.9050      38756.7      201.942       38756.721
       9951.9910      38837.2      202.146       38837.250
       9953.0769      38986.0      202.259       38985.985
       9954.1629      39221.4      202.791       39221.420
       9955.2489      39631.7      203.905       39631.740
       9956.3348      39281.3      203.030       39281.313
       9957.4208      39089.9      202.653       39089.930
       9958.5068      38739.6      201.374       38739.551
       9959.5928      38816.2      201.719       38816.225
       9960.6787      38597.0      201.420       38596.954
       9961.7647      39573.7      203.812       39573.737
       9962.8507      40107.5      205.237       40107.481
       9963.9367      40138.5      205.099       40138.467
       9965.0226      40066.8      205.140       40066.807
       9966.1086      40286.3      205.731       40286.327
       9967.1946      40575.4      206.418       40575.447
       9968.2805      40416.4      205.793       40416.397
       9969.3665      39664.9      203.796       39664.922
       9970.4525      40241.1      205.380       40241.105
       9971.5385      40623.1      206.206       40623.100
       9972.6244      40581.7      205.909       40581.670
       9973.7104      40686.5      206.479       40686.485
       9974.7964      40555.6      205.774       40555.599
       9975.8824      39822.3      204.262       39822.337
       9976.9683      40392.1      205.739       40392.093
       9978.0543      40672.1      206.288       40672.093
       9979.1403      41032.0      207.061       41032.032
       9980.2262      40724.8      205.833       40724.769
       9981.3122      40856.7      206.409       40856.703
       9982.3982      40704.6      206.042       40704.549
       9983.4842      40869.3      206.426       40869.332
       9984.5701      41473.0      208.535       41473.031
       9985.6561      41534.5      208.425       41534.458
       9986.7421      41200.3      207.380       41200.340
       9987.8281      41187.6      207.395       41187.591
       9988.9140      41175.8      207.353       41175.792
       9990.0000      41364.9      207.784       41364.901
       9991.0860      41049.8      207.253       41049.755
       9992.1719      40203.8      205.198       40203.787
       9993.2579      41295.8      207.492       41295.848
       9994.3439      41122.7      207.016       41122.689
       9995.4299      40757.9      206.632       40757.901
       9996.5158      41354.5      208.092       41354.467
       9997.6018      40455.5      205.817       40455.453
       9998.6878      38773.6      201.495       38773.588
       9999.7738      38684.0      201.006       38684.031
       10000.860      39730.3      203.690       39730.292
       10001.946      41057.2      207.274       41057.215
       10003.032      41152.0      207.161       41151.976
       10004.118      41056.3      207.136       41056.281
       10005.204      40623.9      206.074       40623.867
       10006.290      40609.3      206.222       40609.304
       10007.376      40887.1      206.801       40887.121
       10008.462      41312.1      207.772       41312.055
       10009.548      40935.9      206.727       40935.948
       10010.633      40824.1      206.324       40824.120
       10011.719      40349.3      205.348       40349.277
       10012.805      40752.4      206.771       40752.435
       10013.891      40928.5      207.381       40928.520
       10014.977      40819.6      207.083       40819.638
       10016.063      40482.5      206.091       40482.455
       10017.149      40658.0      206.309       40658.034
       10018.235      40614.8      205.913       40614.831
       10019.321      40505.0      205.763       40505.021
       10020.407      40614.7      205.925       40614.699
       10021.493      40076.6      204.440       40076.585
       10022.579      40314.1      205.224       40314.070
       10023.665      40070.3      205.358       40070.265
       10024.751      39858.3      205.147       39858.312
       10025.837      39734.6      203.878       39734.578
       10026.923      39813.9      203.864       39813.852
       10028.009      39411.6      203.136       39411.577
       10029.095      39102.9      202.136       39102.910
       10030.181      38486.9      201.025       38486.858
       10031.267      38558.7      200.758       38558.670
       10032.353      38478.7      200.641       38478.713
       10033.439      38555.9      200.725       38555.859
       10034.525      38242.7      199.871       38242.695
       10035.611      37806.9      198.975       37806.861
       10036.697      37323.5      198.004       37323.544
       10037.783      36562.4      196.101       36562.429
       10038.869      36220.7      195.193       36220.716
       10039.955      35586.1      193.156       35586.071
       10041.041      35222.3      192.493       35222.282
       10042.127      35231.0      192.279       35231.027
       10043.213      34802.4      191.379       34802.364
       10044.299      34181.1      189.306       34181.097
       10045.385      33656.6      187.950       33656.553
       10046.471      32717.9      185.310       32717.856
       10047.557      31242.9      181.711       31242.870
       10048.643      30234.0      178.588       30234.038
       10049.729      28166.3      172.916       28166.286
       10050.814      26932.9      169.333       26932.885
       10051.900      25531.5      165.866       25531.540
       10052.986      27360.2      170.718       27360.196
