       9750.0000         -NaN         -NaN             NaN
       9751.0860      23380.7      156.944       23380.707
       9752.1719      24158.6      159.411       24158.552
       9753.2579      24496.0      160.304       24495.970
       9754.3439      25124.8      162.091       25124.815
       9755.4299      24952.3      161.557       24952.344
       9756.5158      25323.6      162.856       25323.596
       9757.6018      25367.2      162.750       25367.214
       9758.6878      24834.3      161.438       24834.322
       9759.7738      24966.1      161.788       24966.070
       9760.8597      26070.1      165.382       26070.114
       9761.9457      26924.3      167.688       26924.314
       9763.0317      26509.1      166.396       26509.145
       9764.1176      25819.2      163.849       25819.212
       9765.2036      26276.7      165.724       26276.678
       9766.2896      27174.9      168.838       27174.873
       9767.3756      27300.1      168.668       27300.051
       9768.4615      27780.2      169.865       27780.190
       9769.5475      28451.0      172.215       28450.964
       9770.6335      28685.0      173.065       28685.030
       9771.7195      29063.8      173.979       29063.827
       9772.8054      29226.4      174.643       29226.357
       9773.8914      29090.4      174.432       29090.448
       9774.9774      28904.7      173.530       28904.660
       9776.0633      29088.4      174.163       29088.359
       9777.1493      29380.0      175.182       29379.962
       9778.2353      29550.6      175.816       29550.575
       9779.3213      29567.8      175.894       29567.803
       9780.4072      29397.6      175.244       29397.640
       9781.4932      29510.4      175.274       29510.353
       9782.5792      29340.8      174.894       29340.812
       9783.6652      28902.0      174.151       28901.969
       9784.7511      29404.6      175.534       29404.625
       9785.8371      29910.1      176.310       29910.097
       9786.9231      30609.8      178.692       30609.771
       9788.0090      30784.7      179.229       30784.671
       9789.0950      30537.5      178.263       30537.466
       9790.1810      30367.3      177.859       30367.278
       9791.2670      30238.4      177.878       30238.448
       9792.3529      30087.5      177.557       30087.538
       9793.4389      29754.0      176.861       29754.044
       9794.5249      29724.7      176.043       29724.665
       9795.6109      30634.4      179.068       30634.362
       9796.6968      31599.4      181.827       31599.404
       9797.7828      32043.6      182.379       32043.627
       9798.8688      31921.5      182.417       31921.532
       9799.9548      31380.4      180.978       31380.396
       9801.0407      31102.5      180.201       31102.462
       9802.1267      30927.1      179.423       30927.099
       9803.2127      30951.3      179.501       30951.252
       9804.2986      31372.2      180.773       31372.172
       9805.3846      32047.7      182.963       32047.714
       9806.4706      32136.8      182.822       32136.785
       9807.5566      32427.6      183.578       32427.602
       9808.6425      32932.5      185.048       32932.538
       9809.7285      32866.2      184.778       32866.242
       9810.8145      32613.4      184.092       32613.352
       9811.9005      32776.5      184.480       32776.469
       9812.9864      32655.4      184.403       32655.380
       9814.0724      33086.0      185.591       33085.980
       9815.1584      32722.4      184.055       32722.448
       9816.2443      32465.0      183.233       32464.993
       9817.3303      32445.1      183.312       32445.122
       9818.4163      32639.2      183.816       32639.171
       9819.5023      32946.5      184.647       32946.497
       9820.5882      33378.4      186.076       33378.396
       9821.6742      33590.8      186.907       33590.776
       9822.7602      33496.8      186.255       33496.783
       9823.8462      33304.1      186.045       33304.094
       9824.9321      32618.0      184.093       32617.999
       9826.0181      32210.5      183.019       32210.489
       9827.1041      32119.6      182.257       32119.636
       9828.1900      32747.8      184.365       32747.833
       9829.2760      33660.1      186.701       33660.081
       9830.3620      33860.4      187.725       33860.368
       9831.4480      33647.6      186.831       33647.615
       9832.5339      33404.7      186.154       33404.669
       9833.6199      33360.9      185.810       33360.931
       9834.7059      33942.3      187.998       33942.346
       9835.7919      34068.0      188.251       34068.042
       9836.8778      33629.1      186.983       33629.066
       9837.9638      33747.0      187.449       33746.968
       9839.0498      34085.4      188.255       34085.389
       9840.1357      34232.3      188.336       34232.275
       9841.2217      34269.8      188.770       34269.812
       9842.3077      34110.8      188.021       34110.824
       9843.3937      34266.9      188.665       34266.899
       9844.4796      34394.8      189.173       34394.793
       9845.5656      34204.5      188.519       34204.460
       9846.6516      34164.9      188.273       34164.926
       9847.7376      34325.9      188.837       34325.910
       9848.8235      34450.9      189.316       34450.881
       9849.9095      34244.7      188.966       34244.729
       9850.9955      34225.2      188.895       34225.170
       9852.0814      34690.3      189.953       34690.324
       9853.1674      34863.3      190.178       34863.311
       9854.2534      34611.7      189.041       34611.730
       9855.3394      34157.5      188.114       34157.477
       9856.4253      33836.6      187.686       33836.563
       9857.5113      34284.9      188.930       34284.943
       9858.5973      35172.6      191.354       35172.637
       9859.6833      35463.1      192.030       35463.142
       9860.7692      35396.7      191.639       35396.717
       9861.8552      35364.2      191.858       35364.185
       9862.9412      35345.9      191.705       35345.868
       9864.0271      35364.5      191.894       35364.498
       9865.1131      35415.3      191.736       35415.337
       9866.1991      35363.1      191.653       35363.118
       9867.2851      35662.4      192.515       35662.400
       9868.3710      35762.1      192.786       35762.091
       9869.4570      35694.1      192.341       35694.051
       9870.5430      35626.6      192.516       35626.636
       9871.6290      35598.1      192.552       35598.100
       9872.7149      36149.7      194.183       36149.695
       9873.8009      36370.8      194.344       36370.845
       9874.8869      36275.5      193.931       36275.496
       9875.9729      36184.7      193.757       36184.738
       9877.0588      36166.3      193.632       36166.333
       9878.1448      36187.9      193.456       36187.878
       9879.2308      36389.2      194.200       36389.207
       9880.3167      36575.9      194.958       36575.876
       9881.4027      36837.7      195.137       36837.706
       9882.4887      37012.8      195.814       37012.838
       9883.5747      36469.0      193.843       36469.004
       9884.6606      36591.7      194.806       36591.697
       9885.7466      36941.5      195.333       36941.542
       9886.8326      37139.9      195.957       37139.910
       9887.9186      36941.1      195.305       36941.087
       9889.0045      36711.5      194.973       36711.531
       9890.0905      35941.9      192.716       35941.869
       9891.1765      34756.3      189.625       34756.335
       9892.2624      34784.9      190.059       34784.872
       9893.3484      36377.9      194.487       36377.891
       9894.4344      37242.4      196.310       37242.359
       9895.5204      37677.7      197.877       37677.660
       9896.6063      37947.8      198.358       37947.775
       9897.6923      38126.1      198.789       38126.081
       9898.7783      38156.7      199.028       38156.699
       9899.8643      38054.5      198.526       38054.522
       9900.9502      38291.8      199.018       38291.841
       9902.0362      38265.4      199.035       38265.402
       9903.1222      38560.6      200.083       38560.552
       9904.2081      38739.2      200.680       38739.190
       9905.2941      38654.3      199.944       38654.345
       9906.3801      38648.1      200.113       38648.107
       9907.4661      39149.4      201.421       39149.391
       9908.5520      38965.6      200.808       38965.591
       9909.6380      38640.2      200.263       38640.162
       9910.7240      38636.8      200.306       38636.778
       9911.8100      38860.7      200.541       38860.677
       9912.8959      39380.0      201.971       39380.014
       9913.9819      39510.2      202.338       39510.186
       9915.0679      39597.3      203.019       39597.332
       9916.1538      39540.8      202.769       39540.791
       9917.2398      39696.7      203.457       39696.674
       9918.3258      39836.8      203.361       39836.788
       9919.4118      40065.2      204.264       40065.153
       9920.4977      40034.8      203.884       40034.762
       9921.5837      40365.7      204.447       40365.736
       9922.6697      40237.8      203.896       40237.848
       9923.7557      40157.4      204.060       40157.442
       9924.8416      40425.2      204.882       40425.190
       9925.9276      40360.2      204.544       40360.218
       9927.0136      40487.9      204.777       40487.888
       9928.0995      40929.9      206.103       40929.909
       9929.1855      40938.9      205.816       40938.916
       9930.2715      40533.6      204.858       40533.574
       9931.3575      39771.8      203.016       39771.801
       9932.4434      39522.5      202.174       39522.488
       9933.5294      39997.3      203.497       39997.270
       9934.6154      41100.0      206.451       41099.994
       9935.7014      41343.7      206.599       41343.705
       9936.7873      41656.5      207.565       41656.467
       9937.8733      41614.0      207.488       41613.954
       9938.9593      41818.9      208.076       41818.921
       9940.0452      41709.6      207.865       41709.570
       9941.1312      42028.5      208.991       42028.503
       9942.2172      42405.7      209.813       42405.682
       9943.3032      42621.5      210.320       42621.462
       9944.3891      42686.9      210.333       42686.857
       9945.4751      42451.4      209.861       42451.399
       9946.5611      42758.9      210.623       42758.903
       9947.6471      42242.2      209.238       42242.199
       9948.7330      41257.6      207.070       41257.647
       9949.8190      42232.4      209.616       42232.374
       9950.9050      42808.2      210.852       42808.244
       9951.9910      43084.9      211.084       43084.936
       9953.0769      43318.5      211.699       43318.490
       9954.1629      43235.1      211.379       43235.058
       9955.2489      43447.3      212.160       43447.271
       9956.3348      43237.9      211.627       43237.943
       9957.4208      43302.0      212.046       43302.039
       9958.5068      43619.1      212.917       43619.104
       9959.5928      43646.1      212.692       43646.147
       9960.6787      43582.3      212.522       43582.286
       9961.7647      43799.3      213.018       43799.297
       9962.8507      43650.8      212.632       43650.810
       9963.9367      42156.3      208.663       42156.267
       9965.0226      42141.7      208.656       42141.658
       9966.1086      44166.2      213.340       44166.215
       9967.1946      44342.6      214.087       44342.628
       9968.2805      44360.0      214.173       44360.040
       9969.3665      44181.5      213.815       44181.500
       9970.4525      44237.2      213.875       44237.156
       9971.5385      44565.0      214.844       44565.000
       9972.6244      44807.7      215.295       44807.739
       9973.7104      44632.9      214.799       44632.897
       9974.7964      44750.8      214.901       44750.807
       9975.8824      44813.4      215.105       44813.408
       9976.9683      44724.4      214.859       44724.356
       9978.0543      45017.6      215.241       45017.592
       9979.1403      44667.3      214.380       44667.306
       9980.2262      44743.6      215.101       44743.586
       9981.3122      45000.5      215.442       45000.462
       9982.3982      44776.5      215.144       44776.474
       9983.4842      44965.7      215.641       44965.668
       9984.5701      45136.3      216.128       45136.260
       9985.6561      45236.7      216.034       45236.739
       9986.7421      45218.9      216.297       45218.918
       9987.8281      45242.6      216.072       45242.600
       9988.9140      44747.8      215.238       44747.799
       9990.0000      44340.3      214.362       44340.345
       9991.0860      44712.1      215.031       44712.086
       9992.1719      44858.5      214.950       44858.500
       9993.2579      44486.6      214.517       44486.589
       9994.3439      44414.5      214.231       44414.538
       9995.4299      44870.9      215.502       44870.878
       9996.5158      45175.5      215.900       45175.524
       9997.6018      44510.6      213.851       44510.632
       9998.6878      43759.5      212.549       43759.525
       9999.7738      43862.1      213.085       43862.139
       10000.860      44223.8      213.647       44223.769
       10001.946      44310.0      214.139       44309.966
       10003.032      44481.7      214.215       44481.654
       10004.118      44036.7      213.025       44036.656
       10005.204      43917.0      212.885       43916.954
       10006.290      44669.4      214.802       44669.401
       10007.376      44659.9      215.025       44659.949
       10008.462      44739.9      215.014       44739.942
       10009.548      44937.7      215.589       44937.747
       10010.633      44600.4      215.013       44600.395
       10011.719      44660.3      215.062       44660.336
       10012.805      45131.4      216.299       45131.360
       10013.891      44934.6      215.805       44934.606
       10014.977      44636.1      214.594       44636.076
       10016.063      44295.6      214.137       44295.599
       10017.149      43977.3      213.644       43977.297
       10018.235      44003.3      213.648       44003.306
       10019.321      43779.6      213.074       43779.612
       10020.407      43622.4      212.469       43622.390
       10021.493      43798.6      212.906       43798.609
       10022.579      43619.0      212.383       43619.037
       10023.665      43437.2      211.948       43437.181
       10024.751      43497.2      212.261       43497.198
       10025.837      42926.5      210.973       42926.485
       10026.923      41998.9      208.743       41998.925
       10028.009      41232.1      206.838       41232.129
       10029.095      42103.5      208.655       42103.505
       10030.181      42068.5      208.439       42068.462
       10031.267      41984.3      208.365       41984.290
       10032.353      41737.3      207.956       41737.284
       10033.439      41343.7      206.185       41343.713
       10034.525      40866.2      205.873       40866.176
       10035.611      40642.3      205.018       40642.272
       10036.697      40130.1      203.698       40130.068
       10037.783      39083.9      201.546       39083.913
       10038.869      38778.8      200.558       38778.767
       10039.955      38708.9      200.307       38708.921
       10041.041      38532.7      200.010       38532.731
       10042.127      38075.2      198.764       38075.248
       10043.213      37507.5      197.385       37507.544
       10044.299      36586.5      194.894       36586.460
       10045.385      35500.5      192.033       35500.530
       10046.471      34368.8      188.955       34368.765
       10047.557      33227.1      186.040       33227.108
       10048.643      31688.2      181.889       31688.218
       10049.729      29308.7      174.754       29308.656
       10050.814      27949.3      170.866       27949.329
       10051.900      28601.0      172.996       28600.979
       10052.986      31129.0      179.915       31128.988
       10054.072      33161.2      186.110       33161.237
       10055.158      34483.5      189.453       34483.484
       10056.244      35797.2      192.779       35797.156
       10057.330      37117.5      196.456       37117.520
       10058.416      37423.3      196.911       37423.264
       10059.502      38332.9      199.135       38332.850
       10060.588      39271.8      201.593       39271.827
       10061.674      40366.4      204.407       40366.401
       10062.760      40544.0      204.791       40543.959
       10063.846      41395.0      206.926       41394.977
       10064.932      41640.3      207.860       41640.347
       10066.018      41991.4      208.623       41991.395
       10067.104      42364.0      209.154       42364.045
       10068.190      42916.6      210.329       42916.578
       10069.276      43072.1      210.842       43072.108
       10070.362      43378.3      211.690       43378.301
       10071.448      43933.3      213.093       43933.282
       10072.534      44806.1      214.994       44806.144
       10073.620      44648.3      214.698       44648.322
       10074.706      45506.0      216.799       45506.037
       10075.792      46048.2      218.267       46048.161
       10076.878      45898.7      217.763       45898.724
       10077.964      46304.4      218.565       46304.351
       10079.050      46378.8      218.616       46378.830
       10080.136      46293.0      218.508       46292.993
       10081.222      46476.5      219.184       46476.488
       10082.308      46902.3      219.900       46902.269
       10083.394      47136.9      220.777       47136.913
       10084.480      47306.2      221.117       47306.251
       10085.566      47296.9      221.095       47296.906
       10086.652      47940.8      222.467       47940.846
       10087.738      47716.9      221.974       47716.859
       10088.824      48284.3      223.558       48284.299
       10089.910      48411.6      223.679       48411.556
       10090.995      47708.8      222.069       47708.824
       10092.081      46203.5      218.453       46203.469
       10093.167      45475.1      216.723       45475.066
       10094.253      45346.9      216.556       45346.862
       10095.339      46820.5      219.754       46820.462
       10096.425      48213.9      223.099       48213.929
       10097.511      48959.7      224.417       48959.664
       10098.597      49290.6      225.325       49290.640
       10099.683      49090.9      225.010       49090.944
       10100.769      49453.9      225.622       49453.869
       10101.855      49474.9      225.953       49474.907
       10102.941      49189.6      224.968       49189.556
       10104.027      49565.1      225.941       49565.082
       10105.113      50174.5      227.392       50174.472
       10106.199      49955.3      226.889       49955.268
       10107.285      49946.1      226.806       49946.084
       10108.371      49876.5      226.630       49876.483
       10109.457      49751.1      226.175       49751.057
       10110.543      50454.5      228.147       50454.513
       10111.629      50355.1      227.788       50355.070
       10112.715      50529.9      227.789       50529.858
       10113.801      50137.8      227.185       50137.801
