       9750.0000         -NaN         -NaN             NaN
       9751.0860      9081.23      95.3955       9081.2289
       9752.1719      9317.80      86.3906       9317.8010
       9753.2579      9535.31      98.0288       9535.3057
       9754.3439      9657.50      99.0516       9657.5049
       9755.4299      9558.96      98.1247       9558.9622
       9756.5158      9590.36      98.1878       9590.3550
       9757.6018      9687.47      99.2642       9687.4717
       9758.6878      9677.47      98.9391       9677.4664
       9759.7738      9577.50      97.0553       9577.4951
       9760.8597      9817.16      99.6211       9817.1561
       9761.9457      10081.3      100.928       10081.345
       9763.0317      10201.4      101.458       10201.449
       9764.1176      10011.9      100.319       10011.861
       9765.2036      9998.19      100.466       9998.1918
       9766.2896      10201.5      101.454       10201.475
       9767.3756      10446.5      102.641       10446.467
       9768.4615      10646.9      95.3656       10646.884
       9769.5475      10793.6      104.255       10793.642
       9770.6335      10793.6      104.432       10793.586
       9771.7195      10867.8      104.849       10867.766
       9772.8054      10995.4      105.415       10995.358
       9773.8914      10960.8      105.233       10960.754
       9774.9774      10923.0      105.161       10923.044
       9776.0633      10999.1      104.097       10999.148
       9777.1493      11031.9      105.539       11031.884
       9778.2353      11043.9      105.548       11043.935
       9779.3213      11026.1      105.504       11026.146
       9780.4072      11128.0      105.776       11128.009
       9781.4932      11148.0      106.077       11147.997
       9782.5792      11219.0      106.130       11218.978
       9783.6652      11022.9      105.091       11022.857
       9784.7511      10955.9      105.165       10955.901
       9785.8371      11277.3      107.616       11277.256
       9786.9231      11498.3      107.121       11498.325
       9788.0090      11550.5      107.932       11550.461
       9789.0950      11513.7      108.139       11513.663
       9790.1810      11526.3      103.843       11526.343
       9791.2670      11523.4      107.936       11523.373
       9792.3529      11587.4      108.542       11587.439
       9793.4389      11525.5      108.467       11525.548
       9794.5249      11452.8      107.929       11452.842
       9795.6109      11556.8      108.008       11556.784
       9796.6968      11765.5      108.048       11765.517
       9797.7828      11962.6      108.965       11962.613
       9798.8688      11919.2      108.289       11919.155
       9799.9548      11981.0      109.815       11980.989
       9801.0407      11986.5      110.044       11986.520
       9802.1267      11894.9      109.380       11894.948
       9803.2127      11668.4      108.386       11668.401
       9804.2986      11437.0      107.576       11437.009
       9805.3846      11804.9      109.413       11804.860
       9806.4706      12123.5      111.595       12123.498
       9807.5566      11940.6      109.681       11940.603
       9808.6425      11810.7      109.067       11810.739
       9809.7285      11744.3      108.719       11744.334
       9810.8145      12232.9      111.136       12232.888
       9811.9005      12301.0      111.460       12301.013
       9812.9864      12334.0      111.711       12334.016
       9814.0724      12198.5      111.048       12198.491
       9815.1584      12006.5      110.077       12006.510
       9816.2443      11769.8      109.715       11769.804
       9817.3303      12060.6      110.241       12060.645
       9818.4163      12215.4      111.021       12215.369
       9819.5023      12381.0      111.694       12380.987
       9820.5882      12474.6      112.230       12474.633
       9821.6742      12485.1      112.246       12485.140
       9822.7602      12300.6      111.578       12300.644
       9823.8462      12503.9      112.409       12503.852
       9824.9321      12512.8      112.341       12512.756
       9826.0181      12394.9      111.816       12394.921
       9827.1041      12309.2      111.426       12309.231
       9828.1900      12404.8      111.821       12404.752
