       9750.0000         -NaN         -NaN             NaN
       9751.0860      8868.24      94.5002       8868.2406
       9752.1719      9114.39      95.8276       9114.3892
       9753.2579      9415.11      97.1579       9415.1137
       9754.3439      9435.84      97.1037       9435.8403
       9755.4299      9299.72      96.8693       9299.7229
       9756.5158      9280.70      96.7778       9280.7017
       9757.6018      9337.06      97.3661       9337.0610
       9758.6878      9257.77      96.2047       9257.7667
       9759.7738      9144.21      95.2730       9144.2146
       9760.8597      9268.11      96.5153       9268.1094
       9761.9457      9798.53      98.7870       9798.5267
       9763.0317      9930.54      99.7773       9930.5410
       9764.1176      9930.35      99.7507       9930.3549
       9765.2036      9984.94      100.251       9984.9426
       9766.2896      10030.8      100.168       10030.805
       9767.3756      10180.9      100.999       10180.870
       9768.4615      10292.2      101.613       10292.186
       9769.5475      10691.2      103.687       10691.164
       9770.6335      10611.4      101.454       10611.356
       9771.7195      10721.0      103.928       10721.018
       9772.8054      10739.9      103.673       10739.886
       9773.8914      10850.7      104.346       10850.664
       9774.9774      10663.4      103.168       10663.409
       9776.0633      10727.7      103.557       10727.699
       9777.1493      10819.0      103.978       10818.950
       9778.2353      10906.3      104.418       10906.344
       9779.3213      11150.5      105.201       11150.504
       9780.4072      11007.1      105.741       11007.143
       9781.4932      9560.04      98.0201       9560.0373
       9782.5792      9967.28      100.056       9967.2783
       9783.6652      10549.7      102.869       10549.673
       9784.7511      10712.9      103.411       10712.875
       9785.8371      11060.2      104.737       11060.210
       9786.9231      11245.3      106.499       11245.267
       9788.0090      11299.7      106.862       11299.674
       9789.0950      11305.1      106.840       11305.061
       9790.1810      11380.6      106.820       11380.582
       9791.2670      11336.2      106.829       11336.173
       9792.3529      11348.0      106.998       11348.038
       9793.4389      11169.7      106.418       11169.741
       9794.5249      11128.1      106.036       11128.099
       9795.6109      11223.4      105.739       11223.402
       9796.6968      11408.3      106.918       11408.261
       9797.7828      11749.3      108.119       11749.341
       9798.8688      11783.7      108.495       11783.746
       9799.9548      11626.8      108.501       11626.790
       9801.0407      11665.1      108.102       11665.121
       9802.1267      11632.3      108.196       11632.265
       9803.2127      11483.1      107.686       11483.130
       9804.2986      11517.1      107.669       11517.138
       9805.3846      11663.0      108.213       11663.006
       9806.4706      11843.6      109.170       11843.587
       9807.5566      12034.7      110.904       12034.699
       9808.6425      12128.2      109.608       12128.223
       9809.7285      12259.2      110.794       12259.165
