       9750.0000         -NaN         -NaN             NaN
       9751.0860      7946.12      92.0292       7946.1217
       9752.1719      8072.92      92.8656       8072.9158
       9753.2579      8597.35      95.5452       8597.3453
       9754.3439      8663.26      96.1148       8663.2626
       9755.4299      8545.64      95.5532       8545.6359
       9756.5158      8581.53      95.9384       8581.5269
       9757.6018      8749.95      96.6630       8749.9481
       9758.6878      8669.28      96.1707       8669.2846
       9759.7738      8443.24      95.0301       8443.2409
       9760.8597      8841.22      97.2282       8841.2206
       9761.9457      9257.62      99.1782       9257.6207
       9763.0317      9291.01      99.4116       9291.0105
       9764.1176      9083.81      98.5704       9083.8072
       9765.2036      8927.09      97.6302       8927.0934
       9766.2896      9137.37      98.7323       9137.3736
       9767.3756      9374.69      100.107       9374.6943
       9768.4615      9392.50      100.081       9392.5040
       9769.5475      9406.62      100.022       9406.6160
       9770.6335      10005.3      102.891       10005.344
       9771.7195      10153.9      103.583       10153.917
       9772.8054      10229.3      104.094       10229.266
       9773.8914      10214.6      104.089       10214.588
       9774.9774      10064.0      103.248       10064.005
       9776.0633      10067.1      103.303       10067.148
       9777.1493      10093.9      103.366       10093.924
       9778.2353      10027.8      102.998       10027.771
       9779.3213      10137.3      103.612       10137.273
       9780.4072      10244.9      104.211       10244.905
       9781.4932      10242.4      104.275       10242.374
       9782.5792      10100.7      103.533       10100.734
       9783.6652      9847.84      102.252       9847.8395
       9784.7511      9836.37      102.235       9836.3723
       9785.8371      10280.9      104.246       10280.929
       9786.9231      10560.0      105.502       10559.969
       9788.0090      10508.4      105.696       10508.402
       9789.0950      10541.2      105.904       10541.205
       9790.1810      10729.7      106.803       10729.749
       9791.2670      10708.4      106.623       10708.375
       9792.3529      10637.0      106.427       10636.999
       9793.4389      10460.1      105.831       10460.117
       9794.5249      10189.0      104.371       10188.974
       9795.6109      10430.5      105.415       10430.473
       9796.6968      10748.5      106.879       10748.531
       9797.7828      10930.3      107.615       10930.333
       9798.8688      11199.5      108.876       11199.501
       9799.9548      11097.9      108.418       11097.901
       9801.0407      10830.8      107.144       10830.814
       9802.1267      10767.5      107.036       10767.519
       9803.2127      10650.4      106.626       10650.432
       9804.2986      10580.8      106.275       10580.787
       9805.3846      10674.6      106.613       10674.569
       9806.4706      11072.2      108.358       11072.171
       9807.5566      11479.2      110.168       11479.206
       9808.6425      11434.1      110.071       11434.082
       9809.7285      11568.5      110.863       11568.490
       9810.8145      11519.3      110.536       11519.255
       9811.9005      11499.2      110.512       11499.247
       9812.9864      11476.4      110.432       11476.385
       9814.0724      11640.9      111.192       11640.922
       9815.1584      11411.4      110.049       11411.444
       9816.2443      11367.8      109.609       11367.755
       9817.3303      11335.0      109.512       11335.026
       9818.4163      11391.2      109.742       11391.171
       9819.5023      11446.5      110.060       11446.537
       9820.5882      11533.9      110.543       11533.874
       9821.6742      11666.0      111.100       11665.964
       9822.7602      11640.7      111.152       11640.672
       9823.8462      11692.3      111.246       11692.281
       9824.9321      11698.8      111.197       11698.827
       9826.0181      11440.6      109.933       11440.586
       9827.1041      11270.9      109.340       11270.940
       9828.1900      11327.9      109.679       11327.940
       9829.2760      11604.8      111.040       11604.833
       9830.3620      11691.3      111.042       11691.336
       9831.4480      11731.6      111.330       11731.557
       9832.5339      11597.7      110.713       11597.704
       9833.6199      11602.7      110.768       11602.663
       9834.7059      11648.9      110.992       11648.923
       9835.7919      11671.3      110.989       11671.335
       9836.8778      11537.0      110.449       11536.989
       9837.9638      11792.8      111.486       11792.794
       9839.0498      11718.4      111.196       11718.383
       9840.1357      11740.4      111.369       11740.396
       9841.2217      11873.2      111.910       11873.246
       9842.3077      11710.6      111.078       11710.568
       9843.3937      11881.9      111.858       11881.882
       9844.4796      11784.7      111.414       11784.691
       9845.5656      11808.4      111.655       11808.439
       9846.6516      11804.5      111.576       11804.468
       9847.7376      11905.2      111.818       11905.185
       9848.8235      11973.3      112.596       11973.311
       9849.9095      11875.7      112.041       11875.690
       9850.9955      11925.3      112.135       11925.311
       9852.0814      11738.7      111.298       11738.673
       9853.1674      11366.8      109.293       11366.848
       9854.2534      11635.7      110.630       11635.662
       9855.3394      12154.3      113.067       12154.267
       9856.4253      12435.4      114.362       12435.395
       9857.5113      12172.1      113.046       12172.150
       9858.5973      12081.0      112.635       12080.966
       9859.6833      12279.3      113.559       12279.349
       9860.7692      12484.2      114.821       12484.218
       9861.8552      12440.2      114.264       12440.182
       9862.9412      12285.1      113.367       12285.137
       9864.0271      12341.4      113.963       12341.407
       9865.1131      11676.5      113.940       11676.543
       9866.1991      11057.3      113.148       11057.283
       9867.2851      12367.6      114.088       12367.569
       9868.3710      12497.9      114.488       12497.852
       9869.4570      12490.6      114.506       12490.627
       9870.5430      12479.8      114.472       12479.843
       9871.6290      12559.6      114.831       12559.636
       9872.7149      12478.5      114.762       12478.522
       9873.8009      12426.1      114.756       12426.072
       9874.8869      12507.8      115.068       12507.842
       9875.9729      12531.4      115.364       12531.393
       9877.0588      12645.0      115.852       12644.974
       9878.1448      12584.9      114.956       12584.902
       9879.2308      12789.3      116.028       12789.312
       9880.3167      12771.8      116.105       12771.763
       9881.4027      12479.3      114.720       12479.278
       9882.4887      12571.4      115.057       12571.404
       9883.5747      12804.3      116.163       12804.296
       9884.6606      12812.3      116.155       12812.346
       9885.7466      12787.0      115.899       12787.015
       9886.8326      12747.9      116.131       12747.893
       9887.9186      12859.2      116.533       12859.233
       9889.0045      12974.1      117.020       12974.054
       9890.0905      13005.0      117.144       13005.046
       9891.1765      13037.5      117.348       13037.459
       9892.2624      13037.3      116.887       13037.305
       9893.3484      12902.5      116.589       12902.451
       9894.4344      13013.8      117.041       13013.811
       9895.5204      13049.3      117.246       13049.279
       9896.6063      12951.2      116.844       12951.162
       9897.6923      12982.4      117.108       12982.418
       9898.7783      12936.8      116.900       12936.807
       9899.8643      12924.0      116.765       12923.996
       9900.9502      12923.4      116.597       12923.410
       9902.0362      12605.9      115.820       12605.906
       9903.1222      12952.0      118.106       12951.955
       9904.2081      13236.5      118.116       13236.463
       9905.2941      13184.4      117.599       13184.409
       9906.3801      13323.9      118.301       13323.943
       9907.4661      13519.3      119.170       13519.293
       9908.5520      13485.3      119.077       13485.292
       9909.6380      13436.8      118.826       13436.759
       9910.7240      13572.8      119.360       13572.762
       9911.8100      13538.5      119.078       13538.542
       9912.8959      13540.1      119.309       13540.092
       9913.9819      13499.4      119.181       13499.420
       9915.0679      13605.4      119.922       13605.354
       9916.1538      13747.5      120.594       13747.514
       9917.2398      13776.0      120.799       13775.963
       9918.3258      13863.7      121.022       13863.675
       9919.4118      13854.5      120.863       13854.489
       9920.4977      14047.7      121.615       14047.664
       9921.5837      13812.2      120.608       13812.169
       9922.6697      13922.4      120.884       13922.378
       9923.7557      13844.5      120.733       13844.538
       9924.8416      13850.9      120.636       13850.913
       9925.9276      13921.4      120.905       13921.430
       9927.0136      14037.5      121.257       14037.475
       9928.0995      13895.4      120.690       13895.384
       9929.1855      13622.4      119.223       13622.370
       9930.2715      13966.4      120.801       13966.374
       9931.3575      14244.8      122.193       14244.827
       9932.4434      14276.8      122.442       14276.780
       9933.5294      14231.3      122.244       14231.328
       9934.6154      14254.0      122.213       14254.028
       9935.7014      14243.2      122.280       14243.222
       9936.7873      14236.0      122.362       14236.000
       9937.8733      14384.5      122.980       14384.465
       9938.9593      14435.6      122.981       14435.578
       9940.0452      14364.1      122.667       14364.100
       9941.1312      14235.1      122.507       14235.079
       9942.2172      14316.6      122.799       14316.638
       9943.3032      14454.7      123.188       14454.712
       9944.3891      14299.9      122.812       14299.886
       9945.4751      14399.7      123.188       14399.664
       9946.5611      14460.4      123.452       14460.364
       9947.6471      14371.5      122.994       14371.527
       9948.7330      14374.5      123.114       14374.453
       9949.8190      14360.6      122.983       14360.594
       9950.9050      14174.8      122.073       14174.755
       9951.9910      14413.2      122.929       14413.163
       9953.0769      14676.5      123.994       14676.470
       9954.1629      14520.5      123.334       14520.536
       9955.2489      14584.8      123.672       14584.757
       9956.3348      14669.7      124.045       14669.701
       9957.4208      14616.6      123.894       14616.616
       9958.5068      14639.2      124.210       14639.201
       9959.5928      14848.7      125.313       14848.678
       9960.6787      14854.0      124.918       14854.028
       9961.7647      14741.5      124.560       14741.538
       9962.8507      14342.6      123.045       14342.602
       9963.9367      14318.0      122.955       14318.001
       9965.0226      14819.0      124.868       14819.046
       9966.1086      14965.7      125.461       14965.690
       9967.1946      15017.9      125.532       15017.903
       9968.2805      15061.8      125.645       15061.842
       9969.3665      15141.3      126.047       15141.294
       9970.4525      15200.4      126.199       15200.397
       9971.5385      15128.9      125.916       15128.929
       9972.6244      15227.6      126.565       15227.637
       9973.7104      15107.8      126.119       15107.834
       9974.7964      15230.8      126.407       15230.843
       9975.8824      15379.5      127.106       15379.505
       9976.9683      15431.4      127.189       15431.431
       9978.0543      15418.5      127.060       15418.453
       9979.1403      15344.9      126.849       15344.940
       9980.2262      15355.0      126.804       15354.967
       9981.3122      15400.0      127.037       15399.954
       9982.3982      15425.8      127.128       15425.817
       9983.4842      15577.6      127.701       15577.615
       9984.5701      15474.4      127.277       15474.434
       9985.6561      15456.6      127.486       15456.643
       9986.7421      15444.0      127.253       15444.046
       9987.8281      15348.9      126.800       15348.852
       9988.9140      15498.3      127.403       15498.272
       9990.0000      15495.0      127.430       15494.987
       9991.0860      15358.4      126.813       15358.445
       9992.1719      15529.7      127.656       15529.661
       9993.2579      15619.4      128.030       15619.353
       9994.3439      15484.0      127.166       15484.048
       9995.4299      15719.0      128.246       15719.041
       9996.5158      15625.6      128.015       15625.640
       9997.6018      15718.1      128.341       15718.138
       9998.6878      15720.4      128.374       15720.381
       9999.7738      15562.5      127.674       15562.484
       10000.860      15567.5      127.721       15567.546
       10001.946      15541.9      127.626       15541.895
       10003.032      15518.3      127.627       15518.317
       10004.118      15545.3      127.688       15545.349
       10005.204      15641.4      128.256       15641.373
       10006.290      15703.3      128.181       15703.312
       10007.376      15605.6      127.993       15605.570
