       9750.0000         -NaN         -NaN             NaN
       9751.0860      7658.80      90.0506       7658.7955
       9752.1719      7794.68      90.8413       7794.6794
       9753.2579      8292.97      93.8500       8292.9677
       9754.3439      8506.81      95.0427       8506.8129
       9755.4299      8256.73      93.3698       8256.7322
       9756.5158      8199.43      93.2602       8199.4324
       9757.6018      8397.33      94.2443       8397.3304
       9758.6878      8132.37      93.0212       8132.3659
       9759.7738      8076.10      92.0096       8076.1044
       9760.8597      8252.61      93.1852       8252.6113
       9761.9457      8637.26      95.1188       8637.2572
       9763.0317      8873.14      96.9016       8873.1377
       9764.1176      8610.31      95.7349       8610.3105
       9765.2036      8268.01      93.8549       8268.0097
       9766.2896      8316.80      93.9728       8316.8034
       9767.3756      8665.87      95.7829       8665.8679
       9768.4615      9033.39      97.6690       9033.3932
       9769.5475      9195.03      97.9603       9195.0343
       9770.6335      9253.43      98.5896       9253.4329
       9771.7195      8336.51      84.9497       8336.5134
       9772.8054      8286.27      82.5021       8286.2657
       9773.8914      9573.81      99.8705       9573.8069
       9774.9774      9478.67      99.6251       9478.6700
       9776.0633      9361.84      98.9700       9361.8413
       9777.1493      9585.57      100.367       9585.5700
       9778.2353      9594.55      100.684       9594.5507
       9779.3213      9594.34      100.544       9594.3385
       9780.4072      9447.35      99.7288       9447.3480
       9781.4932      9429.08      99.1982       9429.0834
       9782.5792      9240.56      98.2149       9240.5606
       9783.6652      9341.99      98.9450       9341.9866
       9784.7511      9392.28      98.8446       9392.2833
       9785.8371      9563.51      99.9971       9563.5128
       9786.9231      10024.1      102.675       10024.129
       9788.0090      10080.6      102.795       10080.618
       9789.0950      9981.92      102.357       9981.9225
       9790.1810      9990.97      102.639       9990.9695
       9791.2670      9888.02      101.964       9888.0164
       9792.3529      9735.94      101.398       9735.9395
       9793.4389      9771.26      101.531       9771.2563
       9794.5249      9561.39      100.686       9561.3882
       9795.6109      9617.71      101.043       9617.7118
       9796.6968      9993.02      102.651       9993.0219
       9797.7828      10206.4      103.687       10206.380
       9798.8688      10580.1      105.686       10580.061
       9799.9548      10406.4      104.777       10406.379
