       9750.0000         -NaN         -NaN             NaN
       9751.0860      23046.3      155.963       23046.325
       9752.1719      23217.4      156.431       23217.409
       9753.2579      23778.5      158.054       23778.527
       9754.3439      24314.3      159.642       24314.278
       9755.4299      24425.7      160.174       24425.714
       9756.5158      24334.9      159.829       24334.889
       9757.6018      24463.7      160.158       24463.692
       9758.6878      24269.7      159.428       24269.656
       9759.7738      24240.0      159.386       24239.992
       9760.8597      24396.3      160.190       24396.338
       9761.9457      25011.8      162.202       25011.812
       9763.0317      25707.4      164.370       25707.353
       9764.1176      25477.3      163.342       25477.325
       9765.2036      25180.0      162.559       25180.013
       9766.2896      25446.1      163.537       25446.138
       9767.3756      25977.0      165.091       25977.033
       9768.4615      26605.3      166.898       26605.267
       9769.5475      27074.3      168.257       27074.291
       9770.6335      27347.8      169.131       27347.798
       9771.7195      27446.1      169.498       27446.075
       9772.8054      27773.1      170.499       27773.126
       9773.8914      27778.6      170.521       27778.579
       9774.9774      27811.9      170.702       27811.932
       9776.0633      27759.4      170.600       27759.398
       9777.1493      27717.0      170.319       27717.020
       9778.2353      27745.6      170.257       27745.582
       9779.3213      27906.9      170.958       27906.928
       9780.4072      27929.1      170.924       27929.135
       9781.4932      28107.3      171.536       28107.255
       9782.5792      28159.8      171.771       28159.793
       9783.6652      27942.8      171.189       27942.832
       9784.7511      27806.4      170.828       27806.378
       9785.8371      28009.8      171.435       28009.764
       9786.9231      28489.7      172.738       28489.666
       9788.0090      28948.8      174.136       28948.790
       9789.0950      29044.1      174.500       29044.140
       9790.1810      29185.3      174.813       29185.284
       9791.2670      28988.2      174.266       28988.192
       9792.3529      29082.6      174.732       29082.607
       9793.4389      28978.9      174.461       28978.896
       9794.5249      28608.5      173.547       28608.539
       9795.6109      28650.4      173.412       28650.372
       9796.6968      29139.6      174.490       29139.555
       9797.7828      29578.6      175.785       29578.568
       9798.8688      30012.5      177.048       30012.488
       9799.9548      30255.4      177.649       30255.376
       9801.0407      30128.4      177.334       30128.420
       9802.1267      29652.1      175.940       29652.125
       9803.2127      29091.6      174.497       29091.607
       9804.2986      28701.9      173.458       28701.935
       9805.3846      29294.0      175.404       29294.031
       9806.4706      30036.0      177.115       30035.959
       9807.5566      30453.4      178.332       30453.375
       9808.6425      30584.2      178.775       30584.219
       9809.7285      30627.8      178.900       30627.777
       9810.8145      31194.4      180.555       31194.390
       9811.9005      31228.5      180.642       31228.456
       9812.9864      31185.8      180.471       31185.831
       9814.0724      31098.7      180.235       31098.715
       9815.1584      30530.8      178.691       30530.755
       9816.2443      29808.3      176.534       29808.295
       9817.3303      30352.0      177.983       30352.048
       9818.4163      31212.6      180.434       31212.600
       9819.5023      31417.9      180.990       31417.865
       9820.5882      31818.9      182.088       31818.924
       9821.6742      31664.2      181.807       31664.227
       9822.7602      31477.7      181.286       31477.703
       9823.8462      31724.1      181.932       31724.147
       9824.9321      31489.9      181.259       31489.899
       9826.0181      31093.2      180.040       31093.219
       9827.1041      31220.5      180.559       31220.505
       9828.1900      31160.8      180.477       31160.762
       9829.2760      31549.2      181.502       31549.180
       9830.3620      31956.3      182.481       31956.313
       9831.4480      32158.3      183.040       32158.328
       9832.5339      32131.6      183.003       32131.569
       9833.6199      32092.0      182.832       32092.042
       9834.7059      32022.8      182.698       32022.757
       9835.7919      32175.8      183.121       32175.790
       9836.8778      32470.0      184.051       32470.041
       9837.9638      32642.4      184.593       32642.433
       9839.0498      32495.6      184.095       32495.554
       9840.1357      32565.1      184.193       32565.074
       9841.2217      32377.1      183.648       32377.101
       9842.3077      32832.4      184.963       32832.365
       9843.3937      32805.8      184.874       32805.844
       9844.4796      32453.8      184.040       32453.811
       9845.5656      32690.8      184.716       32690.809
       9846.6516      32561.6      184.227       32561.578
       9847.7376      32714.0      184.637       32713.958
       9848.8235      32945.8      185.376       32945.790
       9849.9095      32820.1      185.070       32820.079
       9850.9955      33000.5      185.511       33000.464
       9852.0814      32685.7      184.660       32685.725
       9853.1674      32639.8      184.510       32639.819
       9854.2534      32705.2      184.478       32705.235
       9855.3394      32979.3      185.588       32979.313
       9856.4253      33295.4      186.371       33295.354
       9857.5113      33415.5      186.583       33415.517
       9858.5973      33210.4      186.021       33210.408
       9859.6833      33215.1      186.170       33215.109
       9860.7692      33505.5      186.978       33505.464
       9861.8552      33693.3      187.601       33693.338
       9862.9412      33827.6      187.846       33827.627
       9864.0271      33912.5      188.072       33912.458
       9865.1131      33627.8      188.014       33627.771
       9866.1991      33873.0      188.589       33873.016
       9867.2851      33781.0      187.496       33780.990
       9868.3710      33783.6      187.468       33783.579
       9869.4570      33978.2      187.908       33978.194
       9870.5430      34135.4      188.629       34135.405
       9871.6290      34202.1      188.738       34202.101
       9872.7149      33887.4      188.120       33887.370
       9873.8009      33854.2      188.261       33854.194
       9874.8869      34417.0      189.683       34416.982
       9875.9729      34181.9      188.908       34181.924
       9877.0588      34219.1      188.823       34219.117
       9878.1448      34420.5      189.383       34420.494
       9879.2308      34609.6      190.084       34609.600
       9880.3167      34636.4      190.019       34636.384
       9881.4027      34591.2      189.844       34591.237
       9882.4887      34683.5      190.114       34683.549
       9883.5747      34798.3      190.336       34798.258
       9884.6606      35103.1      191.101       35103.131
       9885.7466      34788.5      190.266       34788.517
       9886.8326      34709.4      190.151       34709.377
       9887.9186      34731.3      190.247       34731.271
       9889.0045      34958.7      190.815       34958.721
       9890.0905      34989.8      190.991       34989.843
       9891.1765      34807.3      190.665       34807.311
       9892.2624      34921.8      190.788       34921.848
       9893.3484      35133.8      191.186       35133.770
       9894.4344      35571.6      192.391       35571.572
       9895.5204      35585.9      192.400       35585.921
       9896.6063      35377.8      191.933       35377.785
       9897.6923      35214.6      191.497       35214.608
       9898.7783      35569.2      192.523       35569.178
       9899.8643      36155.2      193.963       36155.209
       9900.9502      35974.4      193.381       35974.414
       9902.0362      35855.1      193.277       35855.135
       9903.1222      36035.7      193.794       36035.733
       9904.2081      36115.4      193.811       36115.386
       9905.2941      36313.3      194.211       36313.334
       9906.3801      36460.8      194.644       36460.800
       9907.4661      36710.6      195.204       36710.580
       9908.5520      36925.2      196.045       36925.226
       9909.6380      37052.2      196.299       37052.191
       9910.7240      37030.1      196.106       37030.136
       9911.8100      37275.0      196.685       37275.041
       9912.8959      37184.1      196.579       37184.147
       9913.9819      37359.6      196.954       37359.577
       9915.0679      37433.0      197.452       37432.999
       9916.1538      37601.7      198.155       37601.727
       9917.2398      37605.2      198.086       37605.233
