       9750.0000         -NaN         -NaN             NaN
       9751.0860      28924.7      172.041       28924.704
       9752.1719      28858.6      171.469       28858.553
       9753.2579      30722.5      176.776       30722.524
       9754.3439      30938.7      178.144       30938.674
       9755.4299      30568.7      176.862       30568.729
       9756.5158      30034.5      174.971       30034.490
       9757.6018      30399.1      176.393       30399.053
       9758.6878      31058.2      178.627       31058.231
       9759.7738      30147.7      175.779       30147.691
       9760.8597      30274.1      176.729       30274.089
       9761.9457      31696.8      180.260       31696.847
       9763.0317      32398.7      181.778       32398.669
       9764.1176      32309.6      181.734       32309.566
       9765.2036      31881.4      180.303       31881.378
       9766.2896      32502.4      182.567       32502.400
       9767.3756      33439.0      185.396       33438.975
       9768.4615      33347.1      184.638       33347.089
       9769.5475      34343.5      187.266       34343.544
       9770.6335      34542.9      187.794       34542.917
       9771.7195      34916.2      188.525       34916.161
       9772.8054      35137.8      189.501       35137.780
       9773.8914      35654.0      190.723       35654.008
       9774.9774      35028.5      189.605       35028.486
       9776.0633      35205.3      189.986       35205.279
       9777.1493      35692.3      190.663       35692.318
       9778.2353      35717.1      190.758       35717.115
       9779.3213      36277.6      192.087       36277.635
       9780.4072      35857.3      191.263       35857.252
       9781.4932      32266.6      181.907       32266.559
       9782.5792      33025.5      183.819       33025.485
       9783.6652      34672.4      188.609       34672.428
       9784.7511      34800.2      188.596       34800.242
       9785.8371      35581.1      190.365       35581.050
       9786.9231      36109.0      191.505       36108.961
       9788.0090      36592.9      192.377       36592.914
       9789.0950      36924.3      194.062       36924.325
       9790.1810      36592.3      193.212       36592.259
       9791.2670      36921.8      193.831       36921.773
       9792.3529      37059.8      194.651       37059.829
       9793.4389      36224.4      192.244       36224.444
       9794.5249      36100.1      191.323       36100.089
       9795.6109      36259.5      191.815       36259.545
       9796.6968      37023.7      193.986       37023.748
       9797.7828      37942.9      196.484       37942.860
       9798.8688      38228.8      196.607       38228.841
       9799.9548      37976.3      195.827       37976.260
       9801.0407      38195.0      196.764       38195.030
       9802.1267      37788.3      196.235       37788.314
       9803.2127      37634.0      195.692       37633.969
       9804.2986      37363.7      194.756       37363.700
       9805.3846      37715.7      195.413       37715.702
       9806.4706      38524.1      197.705       38524.092
       9807.5566      39107.2      199.353       39107.179
