"#  name" airmass UT
HIP43018-bfore8_Y_A-B_0284-0285_1dspec_2013jan04_iraf.dat 1.05407827 10:59:41.61
HIP43018-bfore8_Y_B-A_0285-0284_1dspec_2013jan04_iraf.dat 1.05354777 11:00:05.18
HIP43018-bfore8_Y_A-B_0286-0287_1dspec_2013jan04_iraf.dat 1.05121274 11:01:49.03
HIP43018-bfore8_Y_B-A_0287-0286_1dspec_2013jan04_iraf.dat 1.05072162 11:02:11.63
HIP52693-after7_Y_A-B_0320-0321_1dspec_2013jan04_iraf.dat 1.23378072 13:37:44.67
HIP52693-after7_Y_B-A_0321-0320_1dspec_2013jan04_iraf.dat 1.23359534 13:38:00.12
HIP52693-after7_Y_A-B_0322-0323_1dspec_2013jan04_iraf.dat 1.2327131 13:38:58.42
HIP52693-after7_Y_B-A_0323-0322_1dspec_2013jan04_iraf.dat 1.23247829 13:39:17.97
HIP43018-bfore8_Y_A-B_0328-0329_1dspec_2013jan04_iraf.dat 1.0988808 13:50:00.59
HIP43018-bfore8_Y_B-A_0329-0328_1dspec_2013jan04_iraf.dat 1.099718 13:50:25.24
HIP52693-after7_Y_A-B_0365-0366_1dspec_2013jan04_iraf.dat 1.43236947 16:11:46.17
HIP52693-after7_Y_B-A_0366-0365_1dspec_2013jan04_iraf.dat 1.43368787 16:12:04.72
HIP52693-after7_Y_A-B_0367-0368_1dspec_2013jan04_iraf.dat 1.43891977 16:13:21.57
HIP52693-after7_Y_B-A_0368-0367_1dspec_2013jan04_iraf.dat 1.44040544 16:13:42.12
HIP52693-after7_Y_A-B_0369-0370_1dspec_2013jan04_iraf.dat 1.44522053 16:14:51.47
HIP52693-after7_Y_B-A_0370-0369_1dspec_2013jan04_iraf.dat 1.44736223 16:15:20.83
HIP52693-after7_Y_A-B_0371-0372_1dspec_2013jan04_iraf.dat 1.45187602 16:16:24.53
HIP52693-after7_Y_B-A_0372-0371_1dspec_2013jan04_iraf.dat 1.4537162 16:16:49.13
HIP52693-after7_Y_A-B_0373-0374_1dspec_2013jan04_iraf.dat 1.45724316 16:17:38.18
HIP52693-after7_Y_B-A_0374-0373_1dspec_2013jan04_iraf.dat 1.45911529 16:18:02.83
HIP52693-after7_Y_A-B_0375-0376_1dspec_2013jan04_iraf.dat 1.46214046 16:18:44.38
HIP52693-after7_Y_B-A_0376-0375_1dspec_2013jan04_iraf.dat 1.46367347 16:19:04.13
