"#  name" airmass UT
HD13027_Y_A-B_0129-0130_1dspec_2014dec29_iraf_weight.dat 1.06015867 05:05:06.54
HD13027_Y_B-A_0130-0129_1dspec_2014dec29_iraf_weight.dat 1.05994868 05:05:21.99
HD40335_Y_A-B_0210-0211_1dspec_2014dec29_iraf_weight.dat 1.0522474 09:39:02.83
HD40335_Y_B-A_0211-0210_1dspec_2014dec29_iraf_weight.dat 1.05216559 09:39:19.38
HIP43018_Y_A-B_0217-0218_1dspec_2014dec29_iraf_weight.dat 1.31113058 09:51:01.87
HIP43018_Y_B-A_0218-0217_1dspec_2014dec29_iraf_weight.dat 1.30908539 09:51:29.07
HIP45167_Y_A-B_0227-0228_1dspec_2014dec29_iraf_weight.dat 1.4334244 10:07:20.12
HIP45167_Y_B-A_0228-0227_1dspec_2014dec29_iraf_weight.dat 1.43216496 10:07:33.42
HIP43018_Y_A-B_0320-0321_1dspec_2014dec29_iraf_weight.dat 1.58742318 16:08:35.65
HIP43018_Y_B-A_0321-0320_1dspec_2014dec29_iraf_weight.dat 1.59042434 16:08:57.25
