       2014dec29__HD13027_Y_A-B_0129-0130   8.340   7.974   0.000  0.685
       2014dec29__HD13027_Y_B-A_0130-0129   7.280   6.918   7.446  0.607
       2014dec29__HD40335_Y_A-B_0210-0211  11.531  11.758   0.000  0.955
       2014dec29__HD40335_Y_B-A_0211-0210  10.247  10.158  10.958  0.914
      2014dec29__HIP43018_Y_A-B_0217-0218  10.843  10.265   0.000  0.916
      2014dec29__HIP43018_Y_B-A_0218-0217   8.830   8.632   9.448  0.873
      2014dec29__HIP45167_Y_A-B_0227-0228  10.899  10.804   0.000  0.931
      2014dec29__HIP45167_Y_B-A_0228-0227  16.165  15.711  13.258  1.055
      2014dec29__HIP43018_Y_A-B_0320-0321   7.270   6.639   0.000  0.633
      2014dec29__HIP43018_Y_B-A_0321-0320   9.326   9.004   7.821  0.701
       2014dec30__HD13027_Y_A-B_0138-0139   3.690   2.974   0.000  0.475
       2014dec30__HD13027_Y_B-A_0139-0138   6.118   5.512   4.243  0.560
       2014dec30__HD40335_Y_A-B_0241-0242   4.984   3.179   0.000  0.605
       2014dec30__HD40335_Y_B-A_0242-0241   3.576   0.725   1.952  0.564
       2014dec30__HD40335_Y_A-B_0243-0244   3.075   0.769   0.000  0.562
       2014dec30__HD40335_Y_B-A_0244-0243   7.767   7.752   4.261  0.673
      2014dec30__HIP43018_Y_A-B_0251-0252   3.654   3.064   0.000  0.476
      2014dec30__HIP43018_Y_B-A_0252-0251   4.221   3.308   3.186  0.447
      2014dec30__HIP55627_Y_A-B_0350-0351  11.521  11.387   0.000  0.838
      2014dec30__HIP55627_Y_B-A_0351-0350   8.352   8.087   9.737  0.780
2013jan4__HIP43018-bfore8_Y_A-B_0284-0285   9.376   8.114   0.000  0.473
2013jan4__HIP43018-bfore8_Y_B-A_0285-0284  10.357   9.208   8.661  0.523
2013jan4__HIP43018-bfore8_Y_A-B_0286-0287   9.937   9.208   0.000  0.502
2013jan4__HIP43018-bfore8_Y_B-A_0287-0286   8.252   7.091   8.150  0.468
2013jan4__HIP52693-after7_Y_A-B_0320-0321  12.689  12.123   0.000  0.575
2013jan4__HIP52693-after7_Y_B-A_0321-0320  12.132  11.935  12.029  0.595
2013jan4__HIP52693-after7_Y_A-B_0322-0323  11.350  10.896   0.000  0.539
2013jan4__HIP52693-after7_Y_B-A_0323-0322  12.943  11.670  11.283  0.568
2013jan4__HIP43018-bfore8_Y_A-B_0328-0329   9.931   8.496   0.000  0.474
2013jan4__HIP43018-bfore8_Y_B-A_0329-0328   9.134   7.972   8.234  0.468
2013jan4__HIP52693-after7_Y_A-B_0365-0366  24.265  23.743   0.000  0.828
2013jan4__HIP52693-after7_Y_B-A_0366-0365  23.953  23.990  23.867  0.844
2013jan4__HIP52693-after7_Y_A-B_0367-0368  35.554  35.232   0.000  1.087
2013jan4__HIP52693-after7_Y_B-A_0368-0367  27.175  27.156  31.194  0.917
2013jan4__HIP52693-after7_Y_A-B_0369-0370  26.339  25.626   0.000  0.878
2013jan4__HIP52693-after7_Y_B-A_0370-0369  28.043  27.951  26.788  0.921
2013jan4__HIP52693-after7_Y_A-B_0371-0372  23.962  23.860   0.000  0.831
2013jan4__HIP52693-after7_Y_B-A_0372-0371  23.041  23.151  23.505  0.822
2013jan4__HIP52693-after7_Y_A-B_0373-0374  24.683  24.168   0.000  0.832
2013jan4__HIP52693-after7_Y_B-A_0374-0373  25.177  24.274  24.221  0.862
2013jan4__HIP52693-after7_Y_A-B_0375-0376  27.513  26.761   0.000  0.898
2013jan4__HIP52693-after7_Y_B-A_0376-0375  22.957  22.222  24.492  0.801
