            ID         z             Ha        Ha_err          NII_1     NII_1_err          NII_2     NII_2_err          SII_1      SII_1_err          SII_2      SII_2_err        OII3727    OII3727_err             Hb         Hb_err       OIII4959   OIII4959_err       OIII5007   OIII5007_err   ew_Ha   ew_Hb 
    R1_1009808   0.61584   1.203136e-16  1.369785e-18   5.358454e-18  9.323710e-19   6.689807e-18  1.218223e-18   1.229151e-17   1.878049e-18  -9.990000e+02   2.093348e-18   4.397719e-17   1.193531e-18   2.230817e-17   1.302116e-18   3.207411e-17   7.641552e-19   9.581375e-17   6.360262e-19   360.9    31.7 
    R1_1015084   0.67866   3.286937e-16  2.766985e-18   1.116506e-17  1.587963e-18   1.603387e-17  1.947599e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02   1.979610e-16   1.450578e-18   7.541335e-17   5.568457e-19   1.035835e-16   6.022712e-19   3.074004e-16   1.356998e-18   258.6    32.3 
    R2_1015516   0.67947   2.055106e-17  3.118972e-18  -9.990000e+02  2.085191e-18  -9.990000e+02  1.471263e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02   1.761502e-17   7.394957e-19   8.433718e-18   2.648197e-19   1.243047e-17   2.819261e-19   3.439698e-17   3.488973e-19   147.0    35.1 
    R2_1010583   0.63905   4.034858e-17  2.986950e-18  -9.990000e+02  2.741988e-18  -9.990000e+02  1.710489e-18  -9.990000e+02   2.128414e-18  -9.990000e+02   2.951968e-18   2.891050e-17   9.814203e-19   1.062396e-17   1.027556e-18   1.459096e-17   4.676648e-19   4.527289e-17   5.143436e-19   223.9    21.5 
    R2_1010994   0.63418   1.355584e-17  1.552584e-18  -9.990000e+02  8.920340e-19  -9.990000e+02  1.293241e-18  -9.990000e+02   2.226149e-18  -9.990000e+02   6.377089e-19   1.377254e-17   7.404938e-19   5.209731e-18   3.493645e-19   9.926253e-18   4.426625e-19   2.859598e-17   3.432911e-19    49.4     6.9 
    R2_1013478   0.63537   3.133652e-17  3.705451e-18  -9.990000e+02  2.855973e-18   4.912964e-18  1.334861e-18   1.823382e-17   5.700292e-18  -9.990000e+02   2.977667e-18   4.016587e-17   8.822860e-19   1.106401e-17   5.750862e-19   1.213165e-17   3.686970e-19   3.498931e-17   4.055568e-19    68.6    19.6 
     R3_772773   0.61588   6.886916e-17  2.326615e-18  -9.990000e+02  2.997240e-18  -9.990000e+02  1.276817e-18  -9.990000e+02   3.686099e-18  -9.990000e+02   2.156533e-18   2.246884e-17   1.462128e-18   5.721043e-18   1.197455e-18   8.274530e-18   8.873930e-19   2.134062e-17   6.444085e-19    54.7     7.4 
     R3_775548   0.67004   1.153775e-16  1.850796e-18  -9.990000e+02  2.862289e-18   8.575024e-18  1.225765e-18   8.037374e-18   2.302380e-18  -9.990000e+02   3.993033e-18   4.453617e-17   1.498622e-18   1.450157e-17   7.203488e-19   1.141190e-17   1.292674e-18   3.239977e-17   1.135752e-18    72.5    10.8 
           F15   0.67381   2.360185e-17  8.922778e-19  -9.990000e+02  6.572918e-19  -9.990000e+02  6.763044e-19  -9.990000e+02   6.801477e-19  -9.990000e+02  -9.990000e+02   1.571080e-17   9.825997e-19   4.837709e-18   3.736054e-19   4.505097e-18   9.630397e-19   1.383495e-17   6.979359e-19    94.8    10.5 
           F17   0.62323   8.008510e-17  1.185270e-18   3.433822e-18  6.899474e-19   1.434433e-17  1.575123e-18   1.232344e-17   2.342219e-18   1.418785e-17   4.355076e-18   5.076195e-17   1.015154e-18   1.622845e-17   7.483555e-19   1.326272e-17   5.407825e-19   3.940884e-17   4.799790e-19    23.2     3.9 
           F31   0.62131   1.524426e-16  1.025242e-18  -9.990000e+02  7.908367e-19   2.832986e-18  8.037342e-19   1.007313e-17   1.472962e-18   6.804888e-18   9.249359e-19   1.122561e-16   1.374354e-18   5.152267e-17   9.409345e-19   7.704255e-17   6.643476e-19   2.334009e-16   8.295771e-19   180.0    27.2 
           F32   0.62135   2.890262e-17  7.802424e-19  -9.990000e+02  5.718855e-19   2.078485e-18  4.790329e-19   4.358262e-18   6.213784e-19   4.234771e-18   5.325924e-19   3.974623e-17   1.091345e-18   1.028191e-17   8.085008e-19   8.821881e-18   4.724059e-19   2.719083e-17   4.985650e-19    43.3    12.3 
