            ID            Hb        Hb_err   ew_Hb        Hgamma    Hgamma_err  ew_Hgamma        Hdelta    Hdelta_err  ew_Hdelta       OIII4363  OIII4363_err 
    R1_1009808  2.230677e-17  1.302116e-18    37.8  9.933238e-18  7.203635e-19       14.8  4.095124e-18  5.742806e-19        4.9  -8.530189e-18  4.405481e-10 
    R1_1015084  7.546748e-17  5.568457e-19    38.7  3.384438e-17  8.483443e-19       12.6  1.564644e-17  7.266640e-19        5.3   4.977676e-18  1.090401e-18 
    R2_1015516  8.433719e-18  2.648197e-19    39.0  3.407866e-18  3.416090e-19       13.8  8.370190e-19  4.171086e-19        3.0  -1.324463e-18  6.615060e-19 
    R2_1010583  1.062390e-17  1.027556e-18    28.3  5.471220e-18  5.312531e-19       10.2  2.959074e-18  5.646716e-19        5.4   3.994033e-19  4.203066e-19 
    R2_1010994  5.186726e-18  3.493645e-19    10.4  2.179576e-18  3.502702e-19        4.3  7.917754e-19  3.890790e-19        1.3   5.276071e-19  3.707606e-19 
    R2_1013478  1.105631e-17  5.750862e-19    24.0  4.957270e-18  4.033510e-19        8.0  1.968993e-18  3.839444e-19        3.0   1.155295e-18  4.167117e-19 
     R3_772773  5.721028e-18  1.197455e-18    11.2  3.227518e-18  7.670086e-19        4.9  1.495092e-18  7.120591e-19        2.2  -3.262541e-18  6.977109e-19 
     R3_775548  1.459642e-17  7.203488e-19    20.3  5.148160e-18  1.365622e-18        8.6  1.558953e-18  1.113511e-18        1.6   9.926987e-19  1.297137e-18 
           F15  4.825920e-18  3.736054e-19    14.8  2.095856e-18  3.961060e-19        6.7  1.077266e-18  8.475209e-19        2.6  -2.062994e-18  4.541404e-19 
           F17  1.631431e-17  7.483555e-19     9.8  4.554290e-18  5.040204e-19        2.0  1.611960e-18  3.519951e-19        0.7   4.768844e-19  5.448761e-19 
           F31  5.152278e-17  9.409345e-19    35.3  2.549340e-17  7.301595e-19       14.8  1.194273e-17  6.620066e-19        6.3   4.047568e-18  7.226299e-19 
           F32  1.037011e-17  8.085008e-19    18.1  3.715204e-18  4.903847e-19        3.2  9.405218e-19  5.691417e-19        0.8   2.727514e-18  5.970399e-19 
