lambda flux fluxErr
9752.1719 1.61587e-18 3.80688e-19
9753.2579 2.39255e-18 3.72108e-19
9754.3439 2.84481e-18 3.77260e-19
9755.4299 1.77056e-18 3.58744e-19
9756.5158 1.78331e-18 3.79958e-19
9757.6018 2.23655e-18 3.97370e-19
9758.6878 2.12179e-18 3.93873e-19
9759.7738 1.74544e-18 3.82615e-19
9760.8597 1.52975e-18 3.67334e-19
9761.9457 1.34102e-18 3.51198e-19
9763.0317 1.37923e-18 3.37911e-19
9764.1176 1.42679e-18 3.37416e-19
9765.2036 2.17325e-18 3.58760e-19
9766.2896 2.42617e-18 3.54277e-19
9767.3756 1.95730e-18 3.35665e-19
9768.4615 1.29604e-18 3.28220e-19
9769.5475 1.23874e-18 3.18678e-19
9770.6335 2.19717e-18 3.41150e-19
9771.7195 1.71819e-18 3.38355e-19
9772.8054 1.48349e-18 3.11665e-19
9773.8914 2.00879e-18 3.17502e-19
9774.9774 1.93058e-18 4.45533e-19
9776.0633 1.44917e-18 4.51692e-19
9777.1493 1.18518e-18 2.98848e-19
9778.2353 1.31709e-18 3.04203e-19
9779.3213 1.48013e-18 3.02673e-19
9780.4072 1.79448e-18 3.10128e-19
9781.4932 1.77771e-18 3.28320e-19
9782.5792 1.47327e-18 3.24052e-19
9783.6652 1.34845e-18 3.13057e-19
9784.7511 2.07915e-18 3.27264e-19
9785.8371 1.68201e-18 3.16365e-19
9786.9231 1.98614e-18 3.27435e-19
9788.0090 -6.83315e-20 nan
9789.0950 1.09596e-18 3.70259e-19
9790.1810 1.03535e-18 5.62657e-19
9791.2670 1.76810e-18 1.03133e-18
9792.3529 1.19094e-18 1.40192e-18
9793.4389 2.08239e-18 1.51570e-18
9794.5249 7.92258e-19 1.47733e-18
9795.6109 1.40408e-18 1.20830e-18
9796.6968 2.47291e-18 7.07498e-19
9797.7828 1.70116e-18 4.15078e-19
9798.8688 8.35881e-19 5.29515e-19
9799.9548 1.85860e-18 7.96606e-19
9801.0407 2.65837e-18 1.00567e-18
9802.1267 2.48216e-18 8.53782e-19
9803.2127 2.35099e-18 8.50638e-19
9804.2986 1.83435e-18 7.12066e-19
9805.3846 1.93094e-18 4.64270e-19
9806.4706 2.53848e-18 3.48616e-19
9807.5566 1.74080e-18 3.63923e-19
9808.6425 1.18281e-18 4.18947e-19
9809.7285 1.80857e-18 4.60173e-19
9810.8145 1.59800e-18 4.43642e-19
9811.9005 1.29681e-18 4.65662e-19
9812.9864 1.75530e-18 5.18538e-19
9814.0724 2.48332e-18 6.77931e-19
9815.1584 2.04674e-18 6.71947e-19
9816.2443 1.70638e-18 5.13924e-19
9817.3303 9.23884e-19 4.31279e-19
9818.4163 1.32320e-18 4.42936e-19
9819.5023 1.84512e-18 4.69986e-19
9820.5882 1.61503e-18 4.54629e-19
9821.6742 1.59701e-18 4.15741e-19
9822.7602 2.27653e-18 3.74273e-19
9823.8462 1.92856e-18 4.53143e-19
9824.9321 1.65277e-18 4.33846e-19
9826.0181 1.70977e-18 3.15415e-19
9827.1041 1.96392e-18 3.32541e-19
9828.1900 2.05473e-18 3.70744e-19
9829.2760 2.12316e-18 3.91547e-19
9830.3620 1.89797e-18 3.98768e-19
9831.4480 1.65079e-18 4.68343e-19
9832.5339 9.64642e-19 4.49872e-19
9833.6199 1.10853e-18 4.61545e-19
9834.7059 1.79056e-18 3.47159e-19
9835.7919 1.45754e-18 3.15408e-19
9836.8778 1.18402e-18 3.03651e-19
9837.9638 1.24539e-18 2.97234e-19
9839.0498 1.57699e-18 3.03699e-19
9840.1357 1.45714e-18 2.98096e-19
9841.2217 1.25637e-18 2.84059e-19
9842.3077 1.83967e-18 2.89171e-19
9843.3937 2.06946e-18 2.89660e-19
9844.4796 1.87870e-18 2.90961e-19
9845.5656 1.66531e-18 2.92620e-19
9846.6516 1.21714e-18 2.87321e-19
9847.7376 1.48547e-18 3.30000e-19
9848.8235 1.73204e-18 5.46970e-19
9849.9095 1.32818e-18 7.15003e-19
9850.9955 1.12315e-18 7.50704e-19
9852.0814 1.12885e-18 7.36521e-19
9853.1674 1.19906e-18 6.06427e-19
9854.2534 1.42363e-18 3.84116e-19
9855.3394 1.59036e-18 2.89323e-19
9856.4253 1.26518e-18 2.77499e-19
9857.5113 1.45586e-18 2.80026e-19
9858.5973 1.76490e-18 2.86146e-19
9859.6833 1.90954e-18 2.90124e-19
9860.7692 1.60345e-18 2.80780e-19
9861.8552 1.22245e-18 2.73112e-19
9862.9412 1.23630e-18 2.72323e-19
9864.0271 1.53009e-18 2.78909e-19
9865.1131 1.62359e-18 2.80997e-19
9866.1991 1.50179e-18 2.77598e-19
9867.2851 1.27558e-18 2.74892e-19
9868.3710 1.11033e-18 2.76810e-19
9869.4570 1.22132e-18 2.85125e-19
9870.5430 1.52296e-18 3.09115e-19
9871.6290 1.91364e-18 4.91408e-19
9872.7149 2.27760e-18 1.23792e-18
9873.8009 2.62644e-18 1.61282e-18
9874.8869 1.87050e-18 1.23225e-18
9875.9729 1.26238e-18 1.19316e-18
9877.0588 1.19902e-18 8.95868e-19
9878.1448 1.72659e-18 4.57795e-19
9879.2308 1.19774e-18 3.02969e-19
9880.3167 1.44253e-18 2.78668e-19
9881.4027 1.81332e-18 2.85592e-19
9882.4887 2.09435e-18 2.96975e-19
9883.5747 1.78274e-18 2.93330e-19
9884.6606 1.19982e-18 2.86519e-19
9885.7466 1.59321e-18 3.18846e-19
9886.8326 1.95207e-18 3.65630e-19
9887.9186 1.75362e-18 4.66816e-19
9889.0045 1.67682e-18 4.49765e-19
9890.0905 1.19285e-18 4.26116e-19
9891.1765 1.85160e-18 3.29281e-19
9892.2624 1.92694e-18 2.90106e-19
9893.3484 1.30338e-18 2.72825e-19
9894.4344 1.61281e-18 4.16314e-19
9895.5204 1.88944e-18 6.75470e-19
9896.6063 1.68722e-18 8.20562e-19
9897.6923 2.20761e-18 8.46734e-19
9898.7783 2.33007e-18 8.02288e-19
9899.8643 2.31184e-18 6.06870e-19
9900.9502 1.88554e-18 3.58446e-19
9902.0362 1.87548e-18 3.07178e-19
9903.1222 7.54260e-19 4.06207e-19
9904.2081 9.93318e-19 4.07937e-19
9905.2941 1.60526e-18 2.86245e-19
9906.3801 1.40295e-18 2.70286e-19
9907.4661 1.24481e-18 3.15608e-19
9908.5520 7.57438e-19 3.06071e-19
9909.6380 1.96382e-18 2.75960e-19
9910.7240 1.81875e-18 2.73666e-19
9911.8100 1.62474e-18 2.65649e-19
9912.8959 1.63698e-18 2.83689e-19
9913.9819 1.70376e-18 4.25513e-19
9915.0679 7.98886e-19 1.01879e-18
9916.1538 -8.07886e-20 -1.41406e-18
9917.2398 1.08095e-18 1.21143e-18
9918.3258 1.00527e-18 1.17531e-18
9919.4118 1.53768e-18 1.00344e-18
9920.4977 1.95129e-18 5.12869e-19
9921.5837 1.70336e-18 2.90550e-19
9922.6697 1.46778e-18 2.61657e-19
9923.7557 1.20441e-18 3.55933e-19
9924.8416 1.62271e-18 3.63518e-19
9925.9276 1.65735e-18 2.65056e-19
9927.0136 1.30577e-18 2.55882e-19
9928.0995 1.32248e-18 2.54753e-19
9929.1855 1.14864e-18 2.53910e-19
9930.2715 1.52622e-18 2.65962e-19
9931.3575 2.08736e-18 3.72713e-19
9932.4434 1.84207e-18 3.63870e-19
9933.5294 1.83613e-18 4.24353e-19
9934.6154 1.67314e-18 4.20557e-19
9935.7014 1.44552e-18 2.59365e-19
9936.7873 1.40471e-18 2.65400e-19
9937.8733 1.02862e-18 2.56519e-19
9938.9593 1.13839e-18 2.63084e-19
9940.0452 1.49837e-18 2.82578e-19
9941.1312 2.06987e-18 3.90019e-19
9942.2172 2.00125e-18 7.03308e-19
9943.3032 1.00544e-18 1.36348e-18
9944.3891 1.49121e-18 1.44684e-18
9945.4751 6.21738e-19 1.53558e-18
9946.5611 2.38940e-18 1.85652e-18
9947.6471 2.79912e-18 2.04891e-18
9948.7330 1.65112e-18 1.35476e-18
9949.8190 -1.81097e-19 -1.36379e-18
9950.9050 1.37892e-18 1.18158e-18
9951.9910 2.25329e-18 8.65233e-19
9953.0769 1.51610e-18 5.91457e-19
9954.1629 1.58194e-18 4.05154e-19
9955.2489 1.76183e-18 3.23839e-19
9956.3348 1.77078e-18 5.35509e-19
9957.4208 1.49369e-18 9.18889e-19
9958.5068 1.86062e-18 1.11843e-18
9959.5928 2.68189e-18 1.14542e-18
9960.6787 1.11908e-18 1.07961e-18
9961.7647 6.94155e-19 8.99930e-19
9962.8507 1.49144e-18 9.39096e-19
9963.9367 1.72194e-18 1.05378e-18
9965.0226 1.14785e-18 9.87719e-19
9966.1086 1.28184e-18 8.77992e-19
9967.1946 1.58123e-18 5.93635e-19
9968.2805 1.48623e-18 2.93522e-19
9969.3665 1.25597e-18 2.97116e-19
9970.4525 1.41791e-18 3.05046e-19
9971.5385 1.52031e-18 3.02821e-19
9972.6244 1.55845e-18 4.58928e-19
9973.7104 1.19592e-18 6.12786e-19
9974.7964 1.78449e-18 6.54145e-19
9975.8824 2.16530e-18 6.48334e-19
9976.9683 1.65945e-18 5.45906e-19
9978.0543 1.83513e-18 3.89008e-19
9979.1403 1.71308e-18 3.66848e-19
9980.2262 1.31287e-18 3.84145e-19
9981.3122 1.27531e-18 3.93154e-19
9982.3982 1.77367e-18 3.92297e-19
9983.4842 1.61585e-18 3.37856e-19
9984.5701 1.62212e-18 2.88209e-19
9985.6561 1.67372e-18 2.63058e-19
9986.7421 1.49597e-18 2.46429e-19
9987.8281 1.87873e-18 2.56476e-19
9988.9140 1.24321e-18 2.31308e-19
9990.0000 1.49566e-18 2.33533e-19
9991.0860 1.46815e-18 2.33558e-19
9992.1719 1.39130e-18 2.36141e-19
9993.2579 1.59263e-18 2.46442e-19
9994.3439 1.56375e-18 2.50649e-19
9995.4299 1.60096e-18 2.42542e-19
9996.5158 1.56726e-18 2.34397e-19
9997.6018 1.27795e-18 2.29463e-19
9998.6878 1.48093e-18 2.37692e-19
9999.7738 1.43591e-18 2.95614e-19
10000.8600 1.42152e-18 4.26635e-19
10001.9460 1.91239e-18 5.12575e-19
10003.0320 1.31577e-18 5.19200e-19
10004.1180 1.44504e-18 5.06862e-19
10005.2040 1.36757e-18 4.04133e-19
10006.2900 1.21250e-18 2.78890e-19
10007.3760 1.64143e-18 2.57700e-19
10008.4620 1.77892e-18 2.47490e-19
10009.5480 1.92836e-18 2.50381e-19
10010.6330 1.78265e-18 2.73169e-19
10011.7190 1.49223e-18 4.18574e-19
10012.8050 1.65342e-18 8.39358e-19
10013.8910 1.16092e-18 1.29896e-18
10014.9770 1.04929e-18 1.52913e-18
10016.0630 1.74603e-18 1.54470e-18
10017.1490 6.45478e-19 1.34651e-18
10018.2350 1.27184e-18 9.29802e-19
10019.3210 1.77488e-18 4.66382e-19
10020.4070 1.55785e-18 2.66347e-19
10021.4930 1.43631e-18 3.03872e-19
10022.5790 1.28971e-18 3.54291e-19
10023.6650 1.67640e-18 3.75260e-19
10024.7510 1.35081e-18 5.48774e-19
10025.8370 1.05719e-18 8.77689e-19
10026.9230 1.29423e-18 8.15258e-19
10028.0090 1.85533e-18 1.21125e-18
10029.0950 1.17879e-18 1.17760e-18
10030.1810 8.08280e-19 6.81574e-19
10031.2670 1.59811e-18 3.81885e-19
10032.3530 1.33120e-18 2.58597e-19
10033.4390 1.04912e-18 4.63174e-19
10034.5250 1.42449e-18 3.95697e-19
10035.6110 1.90053e-18 3.89167e-19
10036.6970 1.59952e-18 2.54037e-19
10037.7830 1.13421e-18 2.54770e-19
10038.8690 1.64822e-18 2.86351e-19
10039.9550 1.46176e-18 2.91856e-19
10041.0410 1.48722e-18 2.83577e-19
10042.1270 1.43379e-18 2.70076e-19
10043.2130 1.57473e-18 3.16830e-19
10044.2990 1.71324e-18 4.61143e-19
10045.3850 1.54093e-18 5.45425e-19
10046.4710 1.11885e-18 5.51466e-19
10047.5570 1.45346e-18 5.31622e-19
10048.6430 1.52905e-18 4.98043e-19
10049.7290 1.26434e-18 2.90120e-19
10050.8140 1.22659e-18 2.13836e-19
10051.9000 1.33311e-18 2.23009e-19
10052.9860 1.56339e-18 2.31814e-19
10054.0720 1.75026e-18 2.36186e-19
10055.1580 1.44340e-18 2.25795e-19
10056.2440 1.37714e-18 2.20005e-19
10057.3300 1.52386e-18 2.22793e-19
10058.4160 1.56342e-18 2.32988e-19
10059.5020 1.29827e-18 3.49210e-19
10060.5880 1.35114e-18 5.40132e-19
10061.6740 1.15145e-18 7.94072e-19
10062.7600 1.68950e-18 1.22887e-18
10063.8460 1.51770e-18 1.01491e-18
10064.9320 1.76455e-18 6.35624e-19
10066.0180 2.16451e-18 4.74303e-19
10067.1040 1.45870e-18 3.32696e-19
10068.1900 1.42110e-18 3.66652e-19
10069.2760 1.15368e-18 3.84683e-19
10070.3620 5.27436e-19 5.79667e-19
10071.4480 8.90283e-19 6.64098e-19
10072.5340 2.11471e-18 4.97606e-19
10073.6200 1.66582e-18 4.92180e-19
10074.7060 1.43958e-18 4.49742e-19
10075.7920 1.78259e-18 3.74983e-19
10076.8780 2.14740e-18 3.97404e-19
10077.9640 1.61572e-18 3.35984e-19
10079.0500 1.40075e-18 2.36727e-19
10080.1360 1.39362e-18 2.45338e-19
10081.2220 1.54686e-18 2.64587e-19
10082.3080 2.51223e-18 8.41869e-19
10083.3940 2.65854e-18 1.48154e-18
10084.4800 1.53478e-18 1.33881e-18
10085.5660 4.57088e-19 1.34903e-18
10086.6520 1.31820e-18 1.02542e-18
10087.7380 9.44605e-19 6.99187e-19
10088.8240 1.25018e-18 2.76845e-19
10089.9100 1.86183e-18 3.42440e-19
10090.9950 2.20120e-18 3.52082e-19
10092.0810 1.72305e-18 2.48305e-19
10093.1670 1.33858e-18 2.28305e-19
10094.2530 1.35877e-18 2.25916e-19
10095.3390 1.36166e-18 2.26320e-19
10096.4250 1.82075e-18 2.52950e-19
10097.5110 2.41606e-18 2.88280e-19
10098.5970 2.38315e-18 3.07246e-19
10099.6830 2.34542e-18 4.29764e-19
10100.7690 2.23564e-18 4.20885e-19
10101.8550 1.97202e-18 2.95649e-19
10102.9410 1.86784e-18 3.15657e-19
10104.0270 1.48069e-18 5.34868e-19
10105.1130 1.25264e-18 7.19834e-19
10106.1990 8.22872e-19 7.45302e-19
10107.2850 2.17148e-18 7.41124e-19
10108.3710 2.68562e-18 6.10775e-19
10109.4570 2.04009e-18 3.49256e-19
10110.5430 1.55694e-18 2.27211e-19
10111.6290 1.54109e-18 2.18729e-19
10112.7150 1.65339e-18 2.25371e-19
10113.8010 1.47960e-18 2.19626e-19
10114.8870 1.41530e-18 2.14241e-19
10115.9730 1.31132e-18 2.11628e-19
10117.0590 1.08874e-18 2.01843e-19
10118.1450 1.11939e-18 2.03477e-19
10119.2310 1.61382e-18 2.18899e-19
10120.3170 1.76116e-18 2.26619e-19
10121.4030 1.79735e-18 2.32650e-19
10122.4890 1.76227e-18 2.56947e-19
10123.5750 1.00377e-18 4.60259e-19
10124.6610 6.81156e-19 9.05643e-19
10125.7470 1.58652e-18 1.18809e-18
10126.8330 2.52090e-18 1.22283e-18
10127.9190 1.29335e-18 1.15312e-18
10129.0050 1.24938e-18 8.57145e-19
10130.0900 1.41986e-18 3.96388e-19
10131.1760 1.53375e-18 2.81293e-19
10132.2620 1.54099e-18 2.93345e-19
10133.3480 1.36992e-18 2.73169e-19
10134.4340 1.63757e-18 3.07272e-19
10135.5200 1.35865e-18 3.66109e-19
10136.6060 1.18185e-18 3.54913e-19
10137.6920 1.61828e-18 2.76733e-19
10138.7780 1.64089e-18 2.46064e-19
10139.8640 1.29132e-18 2.29252e-19
10140.9500 1.28979e-18 2.26952e-19
10142.0360 1.29205e-18 2.29670e-19
10143.1220 1.48483e-18 2.52547e-19
10144.2080 1.63780e-18 2.96076e-19
10145.2940 1.54171e-18 3.43298e-19
10146.3800 1.47310e-18 3.63037e-19
10147.4660 1.94063e-18 3.91976e-19
10148.5520 1.22701e-18 3.73744e-19
10149.6380 1.43500e-18 3.75819e-19
10150.7240 1.68598e-18 3.91037e-19
10151.8100 1.54149e-18 3.71781e-19
10152.8960 1.44691e-18 4.87092e-19
10153.9820 7.77998e-19 6.65415e-19
10155.0680 1.19882e-18 7.44245e-19
10156.1540 1.39465e-18 7.50996e-19
10157.2400 2.54816e-18 7.08236e-19
10158.3260 1.48608e-18 5.18706e-19
10159.4120 1.52360e-18 4.45337e-19
10160.4980 1.98026e-18 4.82618e-19
10161.5840 1.94904e-18 4.82519e-19
10162.6700 1.27632e-18 4.54167e-19
10163.7560 1.24932e-18 3.61941e-19
10164.8420 1.47791e-18 3.34506e-19
10165.9280 1.61723e-18 3.85934e-19
10167.0140 1.94111e-18 3.95719e-19
10168.1000 1.83787e-18 4.30470e-19
10169.1860 1.74728e-18 6.23793e-19
10170.2710 1.68855e-18 4.72316e-19
