lambda f_lambda fErr_lambda
9139.667900000377 2.4836738302315467e-19 0.0
9140.753900000376 2.4836738302315467e-19 0.0
9141.839900000376 2.4836738302315467e-19 0.0
9142.925900000375 2.4836738302315467e-19 0.0
9144.011900000374 2.4836738302315467e-19 0.0
9145.097900000374 2.4836738302315467e-19 0.0
9146.183900000373 2.4836738302315467e-19 0.0
9147.269900000372 2.4836738302315467e-19 0.0
9148.355900000372 2.4836738302315467e-19 0.0
9149.44190000037 2.4836738302315467e-19 0.0
9150.52790000037 2.4836738302315467e-19 0.0
9151.61390000037 2.4836738302315467e-19 0.0
9152.699900000369 2.4836738302315467e-19 0.0
9153.785900000368 2.4836738302315467e-19 0.0
9154.871900000368 2.4836738302315467e-19 0.0
9155.957900000367 2.4836738302315467e-19 0.0
9157.043900000366 2.4836738302315467e-19 0.0
9158.129900000366 2.4836738302315467e-19 0.0
9159.215900000365 2.4836738302315467e-19 0.0
9160.301900000364 2.4836738302315467e-19 0.0
9161.387900000364 2.4836738302315467e-19 0.0
9162.473900000363 2.4836738302315467e-19 0.0
9163.559900000362 2.4836738302315467e-19 0.0
9164.645900000362 2.4836738302315467e-19 0.0
9165.73190000036 2.4836738302315467e-19 0.0
9166.81790000036 2.4836738302315467e-19 0.0
9167.90390000036 2.4836738302315467e-19 0.0
9168.989900000359 2.4836738302315467e-19 0.0
9170.075900000358 2.4836738302315467e-19 0.0
9171.161900000357 2.4836738302315467e-19 0.0
9172.247900000357 2.4836738302315467e-19 0.0
9173.333900000356 2.4836738302315467e-19 0.0
9174.419900000355 2.4836738302315467e-19 0.0
9175.505900000355 2.4836738302315467e-19 0.0
9176.591900000354 2.4836738302315467e-19 0.0
9177.677900000353 2.4836738302315467e-19 0.0
9178.763900000353 2.4836738302315467e-19 0.0
9179.849900000352 2.4836738302315467e-19 0.0
9180.935900000351 2.4836738302315467e-19 0.0
9182.02190000035 2.4836738302315467e-19 0.0
9183.10790000035 2.4836738302315467e-19 0.0
9184.19390000035 2.4836738302315467e-19 0.0
9185.279900000349 2.4836738302315467e-19 0.0
9186.365900000348 2.4836738302315467e-19 0.0
9187.451900000347 2.4836738302315467e-19 0.0
9188.537900000347 2.4836738302315467e-19 0.0
9189.623900000346 2.4836738302315467e-19 0.0
9190.709900000345 2.4836738302315467e-19 0.0
9191.795900000345 2.4836738302315467e-19 0.0
9192.881900000344 2.4836738302315467e-19 0.0
9193.967900000343 2.4836738302315467e-19 0.0
9195.053900000343 2.4836738302315467e-19 0.0
9196.139900000342 2.4836738302315467e-19 0.0
9197.225900000341 2.4836738302315467e-19 0.0
9198.31190000034 2.4836738302315467e-19 0.0
9199.39790000034 2.4836738302315467e-19 0.0
9200.48390000034 2.4836738302315467e-19 0.0
9201.569900000339 2.4836738302315467e-19 0.0
9202.655900000338 2.4836738302315467e-19 0.0
9203.741900000337 2.4836738302315467e-19 0.0
9204.827900000337 2.4836738302315467e-19 0.0
9205.913900000336 2.4836738302315467e-19 0.0
9206.999900000335 2.4836738302315467e-19 0.0
9208.085900000335 2.4836738302315467e-19 0.0
9209.171900000334 2.4836738302315467e-19 0.0
9210.257900000333 2.4836738302315467e-19 0.0
9211.343900000333 2.4836738302315467e-19 0.0
9212.429900000332 2.4836738302315467e-19 0.0
9213.515900000331 2.4836738302315467e-19 0.0
9214.60190000033 2.4836738302315467e-19 0.0
9215.68790000033 2.4836738302315467e-19 0.0
9216.77390000033 2.4836738302315467e-19 0.0
9217.859900000329 2.4836738302315467e-19 0.0
9218.945900000328 2.4836738302315467e-19 0.0
9220.031900000327 2.4836738302315467e-19 0.0
9221.117900000327 2.4836738302315467e-19 0.0
9222.203900000326 2.4836738302315467e-19 0.0
9223.289900000325 2.4836738302315467e-19 0.0
9224.375900000325 2.4836738302315467e-19 0.0
9225.461900000324 2.4836738302315467e-19 0.0
9226.547900000323 2.4836738302315467e-19 0.0
9227.633900000323 2.4836738302315467e-19 0.0
9228.719900000322 2.4836738302315467e-19 0.0
9229.805900000321 2.4836738302315467e-19 0.0
9230.89190000032 2.4836738302315467e-19 0.0
9231.97790000032 2.4836738302315467e-19 0.0
9233.06390000032 2.4836738302315467e-19 0.0
9234.149900000319 2.4836738302315467e-19 0.0
9235.235900000318 2.4836738302315467e-19 0.0
9236.321900000317 2.4836738302315467e-19 0.0
9237.407900000317 2.4836738302315467e-19 0.0
