lambda flux fluxErr
9752.1719 1.84271e-18 4.32886e-19
9753.2579 1.49586e-18 3.96422e-19
9754.3439 1.58523e-18 4.00683e-19
9755.4299 2.30867e-18 5.28174e-19
9756.5158 1.41104e-18 5.50114e-19
9757.6018 9.63911e-19 4.61876e-19
9758.6878 1.88673e-18 4.66549e-19
9759.7738 1.91012e-18 4.40084e-19
9760.8597 2.57740e-18 4.40639e-19
9761.9457 1.44639e-18 3.96758e-19
9763.0317 1.31738e-18 3.92822e-19
9764.1176 1.12706e-18 3.95440e-19
9765.2036 1.33382e-18 3.79651e-19
9766.2896 1.55755e-18 3.75148e-19
9767.3756 1.43696e-18 3.81974e-19
9768.4615 1.86644e-18 3.83262e-19
9769.5475 9.37656e-19 3.51433e-19
9770.6335 4.17706e-19 3.41835e-19
9771.7195 1.38766e-18 3.55916e-19
9772.8054 1.28941e-18 3.49616e-19
9773.8914 1.66869e-18 4.30342e-19
9774.9774 1.91625e-18 4.48209e-19
9776.0633 1.80677e-18 3.75062e-19
9777.1493 2.34410e-18 3.72154e-19
9778.2353 1.59136e-18 3.53440e-19
9779.3213 1.03200e-18 5.11154e-19
9780.4072 8.25883e-19 5.16322e-19
9781.4932 1.74756e-18 3.89858e-19
9782.5792 2.26888e-18 5.37374e-19
9783.6652 2.14389e-18 5.03575e-19
9784.7511 1.83717e-18 3.70761e-19
9785.8371 1.38843e-18 3.51660e-19
9786.9231 1.84270e-18 3.61997e-19
9788.0090 2.21218e-18 3.70683e-19
9789.0950 1.50281e-18 4.29279e-19
9790.1810 9.69937e-19 6.35376e-19
9791.2670 9.95793e-19 1.14379e-18
9792.3529 3.49930e-19 1.54639e-18
9793.4389 1.12519e-18 1.71918e-18
9794.5249 1.21481e-18 1.68414e-18
9795.6109 1.38937e-18 1.31553e-18
9796.6968 2.03235e-18 7.21363e-19
9797.7828 1.54227e-18 4.53980e-19
9798.8688 1.13414e-18 4.80431e-19
9799.9548 8.07838e-19 7.01675e-19
9801.0407 2.17680e-18 9.19549e-19
9802.1267 1.26997e-18 9.36886e-19
9803.2127 1.95819e-18 1.09565e-18
9804.2986 2.23206e-18 9.38135e-19
9805.3846 1.15639e-18 5.71716e-19
9806.4706 1.37553e-18 3.51646e-19
9807.5566 2.34732e-18 5.99188e-19
9808.6425 2.17747e-18 6.95421e-19
9809.7285 1.72841e-18 5.09214e-19
9810.8145 1.97840e-18 4.97880e-19
9811.9005 1.28610e-18 5.20684e-19
9812.9864 8.00291e-19 5.75930e-19
9814.0724 6.28606e-19 6.06914e-19
9815.1584 1.19457e-18 6.12221e-19
9816.2443 1.33439e-18 5.98337e-19
9817.3303 1.59368e-18 5.05978e-19
9818.4163 1.31168e-18 4.79861e-19
9819.5023 1.00080e-18 5.00084e-19
9820.5882 1.48749e-18 4.92678e-19
9821.6742 1.57074e-18 4.55806e-19
9822.7602 1.49655e-18 3.93432e-19
9823.8462 1.14701e-18 3.41482e-19
9824.9321 1.20354e-18 3.48835e-19
9826.0181 1.21331e-18 3.64252e-19
9827.1041 1.82975e-18 3.91958e-19
9828.1900 1.56134e-18 4.09238e-19
9829.2760 9.35546e-19 4.11099e-19
9830.3620 1.38945e-18 4.53923e-19
9831.4480 1.98704e-18 4.60801e-19
9832.5339 2.09583e-18 4.19142e-19
9833.6199 1.60485e-18 3.82633e-19
9834.7059 1.51310e-18 3.64242e-19
9835.7919 9.78549e-19 3.53206e-19
9836.8778 1.53446e-18 3.49711e-19
9837.9638 1.64345e-18 3.41037e-19
9839.0498 1.57454e-18 3.41351e-19
9840.1357 2.00399e-18 3.45410e-19
9841.2217 1.70499e-18 3.17647e-19
9842.3077 1.56741e-18 3.13599e-19
9843.3937 8.93936e-19 3.01230e-19
9844.4796 8.49267e-19 2.98326e-19
9845.5656 1.60521e-18 3.20092e-19
9846.6516 2.03629e-18 3.45313e-19
9847.7376 2.15598e-18 3.86540e-19
9848.8235 1.25739e-18 6.12197e-19
9849.9095 2.87632e-19 7.89570e-19
9850.9955 -1.55175e-19 -8.09704e-19
9852.0814 4.62643e-19 7.97257e-19
9853.1674 1.13306e-18 6.57449e-19
9854.2534 1.96961e-18 4.11815e-19
9855.3394 1.65176e-18 3.16012e-19
9856.4253 2.05817e-18 3.23900e-19
9857.5113 1.73686e-18 3.21609e-19
9858.5973 1.30284e-18 3.23618e-19
9859.6833 1.10512e-18 3.25569e-19
9860.7692 1.12678e-18 4.21472e-19
9861.8552 6.05822e-19 4.01892e-19
9862.9412 8.88841e-19 2.98905e-19
9864.0271 1.36543e-18 3.24974e-19
9865.1131 1.37429e-18 3.34374e-19
9866.1991 1.51983e-18 3.74855e-19
9867.2851 1.81600e-18 3.75827e-19
9868.3710 1.52556e-18 3.31307e-19
9869.4570 1.32819e-18 3.32927e-19
9870.5430 1.26409e-18 3.40070e-19
9871.6290 2.06620e-18 5.20031e-19
