lambda flux fluxErr
9752.1719 3.25349e-17 2.07962e-18
9753.2579 3.29298e-17 2.09870e-18
9754.3439 3.33106e-17 2.11600e-18
9755.4299 3.37994e-17 2.14768e-18
9756.5158 3.64017e-17 2.30948e-18
9757.6018 4.02349e-17 2.54983e-18
9758.6878 3.99356e-17 2.52944e-18
9759.7738 3.99877e-17 2.53280e-18
9760.8597 3.98877e-17 2.52574e-18
9761.9457 3.97880e-17 2.51440e-18
9763.0317 3.84511e-17 2.42765e-18
9764.1176 3.87132e-17 2.44751e-18
9765.2036 3.79283e-17 2.39912e-18
9766.2896 3.69369e-17 2.33846e-18
9767.3756 3.67704e-17 2.32733e-18
9768.4615 3.62637e-17 2.29420e-18
9769.5475 3.65394e-17 2.31073e-18
9770.6335 3.61151e-17 2.28296e-18
9771.7195 3.55611e-17 2.24916e-18
9772.8054 3.34078e-17 2.11512e-18
9773.8914 3.29537e-17 2.08643e-18
9774.9774 3.43961e-17 2.17582e-18
9776.0633 3.51593e-17 2.22384e-18
9777.1493 3.53576e-17 2.23558e-18
9778.2353 3.45078e-17 2.18310e-18
9779.3213 3.56344e-17 2.25325e-18
9780.4072 3.36374e-17 2.17835e-18
9781.4932 3.46804e-17 2.25006e-18
9782.5792 3.54552e-17 2.29267e-18
9783.6652 3.45748e-17 2.18733e-18
9784.7511 3.27538e-17 2.07627e-18
9785.8371 3.03465e-17 1.92728e-18
9786.9231 2.99998e-17 1.90455e-18
9788.0090 3.03211e-17 1.97835e-18
9789.0950 3.11057e-17 2.04036e-18
9790.1810 3.21767e-17 2.07844e-18
9791.2670 3.59238e-17 3.31006e-18
9792.3529 3.64899e-17 5.06253e-18
9793.4389 3.48761e-17 3.19096e-18
9794.5249 3.48515e-17 2.54463e-18
9795.6109 3.42880e-17 2.41366e-18
9796.6968 3.26775e-17 2.13285e-18
9797.7828 3.29376e-17 2.09623e-18
9798.8688 3.29333e-17 2.09897e-18
9799.9548 3.36569e-17 2.17923e-18
9801.0407 3.30956e-17 2.19434e-18
9802.1267 3.52759e-17 2.39522e-18
9803.2127 3.60659e-17 2.43774e-18
9804.2986 3.61878e-17 2.40707e-18
9805.3846 3.49246e-17 2.22468e-18
9806.4706 3.31519e-17 2.09739e-18
9807.5566 3.39707e-17 2.15146e-18
9808.6425 3.39624e-17 2.16175e-18
9809.7285 3.43438e-17 2.19037e-18
9810.8145 3.34057e-17 2.13153e-18
9811.9005 3.29658e-17 2.10800e-18
9812.9864 3.28761e-17 2.11532e-18
9814.0724 3.27727e-17 2.11500e-18
9815.1584 3.36158e-17 2.16023e-18
9816.2443 3.41503e-17 2.18806e-18
9817.3303 3.31211e-17 2.11246e-18
9818.4163 3.33203e-17 2.12290e-18
9819.5023 3.40018e-17 2.19830e-18
9820.5882 3.46163e-17 2.23420e-18
9821.6742 3.36475e-17 2.14535e-18
9822.7602 3.37189e-17 2.13580e-18
9823.8462 3.39947e-17 2.14877e-18
9824.9321 3.34805e-17 2.11564e-18
9826.0181 3.30186e-17 2.08747e-18
9827.1041 3.38795e-17 2.14254e-18
9828.1900 3.45488e-17 2.18762e-18
9829.2760 3.37256e-17 2.15687e-18
9830.3620 3.39618e-17 2.17431e-18
9831.4480 3.43901e-17 2.18239e-18
9832.5339 3.39230e-17 2.15050e-18
9833.6199 3.39264e-17 2.20657e-18
9834.7059 3.45612e-17 2.23365e-18
9835.7919 3.34525e-17 2.11379e-18
9836.8778 3.36764e-17 2.12791e-18
9837.9638 3.32005e-17 2.09769e-18
